Name   |   Ref (HF/aDZ + (C/CBS - C/aDZ)) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_C (A.U.)
37Conf8_18crown6_3_mol2   |   -918.53938700   |   -917.59430000   |   -918.53868000
37Conf8_18crown6_4_mol1   |   -918.54135300   |   -917.59634900   |   -918.54222000
37Conf8_18crown6_6_mol1   |   -918.54268200   |   -917.59700300   |   -918.54450000
37Conf8_18crown6_8_mol1   |   -918.53245600   |   -917.58843000   |   -918.53465800
37Conf8_Atropine_6_mol2   |   -937.26542400   |   -936.30532200   |   -937.26541800
37Conf8_Bispidin_3_mol2   |   -382.56952100   |   -382.15715500   |   -382.56787800
37Conf8_Bispidin_5_mol1   |   -382.56038700   |   -382.14806600   |   -382.55852000
37Conf8_Bispidin_6_mol1   |   -382.54933800   |   -382.13713600   |   -382.54748200
37Conf8_Cimetidine_2_mol1   |   -1113.09565500   |   -1112.30643700   |   -1113.09617500
37Conf8_Cimetidine_2_mol2   |   -1113.09506900   |   -1112.30655300   |   -1113.09524000
37Conf8_Cimetidine_4_mol1   |   -1113.09170000   |   -1112.30158700   |   -1113.09036500
37Conf8_Cimetidine_5_mol1   |   -1113.08806100   |   -1112.29963100   |   -1113.08832600
37Conf8_Cimetidine_6_mol1   |   -1113.08867800   |   -1112.30014000   |   -1113.08853300
37Conf8_Cimetidine_8_mol1   |   -1113.08958800   |   -1112.29847200   |   -1113.08786900
37Conf8_Eperisone_2_mol1   |   -788.54608500   |   -787.71992100   |   -788.54646600
37Conf8_Eperisone_5_mol1   |   -788.54045900   |   -787.71383400   |   -788.54084300
37Conf8_Eperisone_6_mol1   |   -788.53934300   |   -787.71244400   |   -788.53957400
37Conf8_Eperisone_8_mol1   |   -788.53648500   |   -787.70936500   |   -788.53587300
37Conf8_Fotemustin_2_mol1   |   -1690.92285300   |   -1689.90401800   |   -1690.92208800
37Conf8_Fotemustin_2_mol2   |   -1690.92732500   |   -1689.90756800   |   -1690.92632000
37Conf8_Fotemustin_3_mol1   |   -1690.91392600   |   -1689.89436700   |   -1690.91237300
37Conf8_Fotemustin_4_mol1   |   -1690.91496500   |   -1689.89551200   |   -1690.91338600
37Conf8_Fotemustin_5_mol1   |   -1690.90871400   |   -1689.89144500   |   -1690.90834500
37Conf8_Fotemustin_6_mol1   |   -1690.90703100   |   -1689.88914400   |   -1690.90613400
37Conf8_Fotemustin_7_mol1   |   -1690.90394600   |   -1689.88620100   |   -1690.90256800
37Conf8_Fotemustin_8_mol1   |   -1690.90545200   |   -1689.88777500   |   -1690.90506500
37Conf8_GABA_5_mol1   |   -361.32743000   |   -360.95510600   |   -361.32690100
37Conf8_GABA_7_mol1   |   -361.32137300   |   -360.94915300   |   -361.32122900
37Conf8_GABA_8_mol2   |   -361.32626200   |   -360.95345500   |   -361.32605500
37Conf8_Gemcitabine_2_mol1   |   -1010.02634700   |   -1009.03982000   |   -1010.02556100
37Conf8_Gemcitabine_4_mol1   |   -1010.02173500   |   -1009.03505700   |   -1010.02107800
37Conf8_Gemcitabine_6_mol1   |   -1010.01357600   |   -1009.02785600   |   -1010.01325400
37Conf8_Gemcitabine_7_mol1   |   -1010.01337700   |   -1009.02788000   |   -1010.01286800
37Conf8_Glufosinate_2_mol1   |   -891.73063300   |   -891.12460500   |   -891.73245400
37Conf8_Glufosinate_4_mol1   |   -891.73207500   |   -891.12684500   |   -891.73497100
37Conf8_Glufosinate_5_mol1   |   -891.72494800   |   -891.11913700   |   -891.72705000
37Conf8_Glufosinate_7_mol1   |   -891.73017400   |   -891.12501500   |   -891.73299000
37Conf8_Glufosinate_8_mol1   |   -891.72805000   |   -891.12316600   |   -891.73013300
37Conf8_Indometacin_2_mol1   |   -1543.52018500   |   -1542.36748600   |   -1543.52098500
37Conf8_Indometacin_2_mol2   |   -1543.52381900   |   -1542.37135200   |   -1543.52451500
37Conf8_Indometacin_3_mol1   |   -1543.51557300   |   -1542.36322500   |   -1543.51691300
37Conf8_Indometacin_4_mol1   |   -1543.51386700   |   -1542.36152600   |   -1543.51527300
37Conf8_Indometacin_6_mol1   |   -1543.51131000   |   -1542.35887000   |   -1543.51214000
37Conf8_Indometacin_7_mol1   |   -1543.51194200   |   -1542.35965700   |   -1543.51275200
37Conf8_Knoevenagel_cond_5_mol2   |   -899.67767700   |   -898.75128100   |   -899.67830600
37Conf8_Knoevenagel_cond_7_mol1   |   -899.65592500   |   -898.73110700   |   -899.65689700
37Conf8_N_iprit_2_mol1   |   -1667.72204700   |   -1667.18272600   |   -1667.72077800
37Conf8_N_iprit_2_mol2   |   -1667.72528000   |   -1667.18579500   |   -1667.72513400
37Conf8_N_iprit_3_mol1   |   -1667.72098200   |   -1667.18152700   |   -1667.71949300
37Conf8_N_iprit_4_mol1   |   -1667.71798800   |   -1667.17832900   |   -1667.71536600
37Conf8_N_iprit_5_mol1   |   -1667.71862900   |   -1667.17933600   |   -1667.71677800
37Conf8_N_iprit_6_mol1   |   -1667.71641800   |   -1667.17699900   |   -1667.71487300
37Conf8_N_iprit_7_mol1   |   -1667.71522000   |   -1667.17576400   |   -1667.71233100
37Conf8_N_iprit_8_mol1   |   -1667.70713600   |   -1667.16735900   |   -1667.70393800
37Conf8_Pantoprazole_2_mol1   |   -1675.19899400   |   -1673.88693900   |   -1675.19954700
37Conf8_Pantoprazole_2_mol2   |   -1675.21577500   |   -1673.90290600   |   -1675.21545300
37Conf8_Pantoprazole_3_mol1   |   -1675.20499300   |   -1673.89510200   |   -1675.20569300
37Conf8_Pantoprazole_4_mol1   |   -1675.20860600   |   -1673.89622900   |   -1675.20813800
37Conf8_Pantoprazole_5_mol1   |   -1675.19691300   |   -1673.89003400   |   -1675.19762000
37Conf8_Pantoprazole_6_mol1   |   -1675.19473500   |   -1673.88318700   |   -1675.19545400
37Conf8_Pantoprazole_7_mol1   |   -1675.19050600   |   -1673.88173200   |   -1675.19070600
37Conf8_Pantoprazole_8_mol1   |   -1675.18908800   |   -1673.87818300   |   -1675.18952900
37Conf8_Propranolol_3_mol1   |   -823.23612500   |   -822.38443700   |   -823.23658500
37Conf8_Propranolol_8_mol2   |   -823.23241200   |   -822.38250400   |   -823.23262700
37Conf8_Pyridoxalphosphate_2_mol1   |   -1154.17633300   |   -1153.32897300   |   -1154.17553300
37Conf8_Pyridoxalphosphate_2_mol2   |   -1154.18077600   |   -1153.33338000   |   -1154.18086700
37Conf8_Pyridoxalphosphate_3_mol1   |   -1154.17306300   |   -1153.32618200   |   -1154.17240200
37Conf8_Pyridoxalphosphate_5_mol1   |   -1154.17127400   |   -1153.32424700   |   -1154.17158700
37Conf8_Pyridoxalphosphate_7_mol1   |   -1154.16764200   |   -1153.32109200   |   -1154.16853800
37Conf8_Pyridoxalphosphate_8_mol1   |   -1154.16533700   |   -1153.31888200   |   -1154.16534700
37Conf8_RAMBO_2_mol1   |   -535.62017300   |   -535.05168500   |   -535.61747900
37Conf8_RAMBO_2_mol2   |   -535.63029100   |   -535.06176100   |   -535.62956100
37Conf8_RAMBO_6_mol1   |   -535.61581500   |   -535.04754000   |   -535.61406000
37Conf8_RH34_6_mol2   |   -1081.89557300   |   -1080.80562900   |   -1081.89537000
37Conf8_Rolipram_2_mol2   |   -898.17864000   |   -897.25916400   |   -898.17909100
37Conf8_shiepox_depox_3_mol1   |   -915.09740100   |   -914.17771300   |   -915.09977500
37Conf8_shiepox_depox_3_mol2   |   -915.10010900   |   -914.17986600   |   -915.10232400
37Conf8_shiepox_depox_6_mol1   |   -915.09461200   |   -914.17385100   |   -915.09667200
37Conf8_shiepox_depox_7_mol1   |   -915.09364000   |   -914.17327800   |   -915.09575500
37Conf8_shiepox_depox_8_mol1   |   -915.08871300   |   -914.16855900   |   -915.09122500
37Conf8_Takemoto_1_mol1   |   -1815.12928500   |   -1813.69090900   |   -1815.12869300
37Conf8_Triacetin_2_mol1   |   -799.10029800   |   -798.30353800   |   -799.10199400
37Conf8_Triacetin_6_mol1   |   -799.08769300   |   -798.29095500   |   -799.08984100
37Conf8_Triacetin_8_mol1   |   -799.07636200   |   -798.27984200   |   -799.07800200
37Conf8_Tsogoeva_2_mol2   |   -984.49343100   |   -983.49231100   |   -984.49139300
37Conf8_Tsogoeva_6_mol1   |   -984.48635400   |   -983.48673800   |   -984.48524800
37Conf8_Tsogoeva_7_mol1   |   -984.48796200   |   -983.48678300   |   -984.48686500
37Conf8_Tsogoeva_8_mol1   |   -984.48742700   |   -983.48701400   |   -984.48499900
37Conf8_VX_2_mol1   |   -1375.03130700   |   -1374.24736100   |   -1375.03455000
37Conf8_VX_3_mol2   |   -1375.03496800   |   -1374.25071500   |   -1375.03883400
37Conf8_VX_5_mol1   |   -1375.02713000   |   -1374.24256100   |   -1375.02995800
37Conf8_VX_6_mol1   |   -1375.02343200   |   -1374.24040400   |   -1375.02664700
37Conf8_VX_8_mol1   |   -1375.01999500   |   -1374.23619600   |   -1375.02245400
37Conf8_XylitolPentanit_3_mol2   |   -1589.41782600   |   -1587.91495500   |   -1589.41643800
37Conf8_XylitolPentanit_7_mol1   |   -1589.40566100   |   -1587.90328800   |   -1589.40302600
37Conf8_XylitolPentanit_8_mol1   |   -1589.40492400   |   -1587.90209500   |   -1589.40298500
3B-69_01a_water_dimerAB_mol1   |   -152.23475000   |   -152.07750100   |   -152.23388800
3B-69_01a_water_dimerAC_mol1   |   -152.23764900   |   -152.08014800   |   -152.23714100
3B-69_01a_water_dimerAC_mol2   |   -76.11635600   |   -76.03772700   |   -76.11594800
3B-69_01a_water_dimerBC_mol3   |   -76.11665000   |   -76.03801000   |   -76.11621700
3B-69_01b_water_dimerAB_mol1   |   -152.23705100   |   -152.07957100   |   -152.23657800
3B-69_01c_water_dimerBC_mol3   |   -76.11918700   |   -76.04029900   |   -76.11880800
3B-69_01c_water_trimer_mol1   |   -228.37690400   |   -228.13938000   |   -228.37682400
3B-69_02a_formaldehyde_dimerAB_mol1   |   -227.99668100   |   -227.77275300   |   -227.99828400
3B-69_02a_formaldehyde_dimerAC_mol1   |   -227.99397900   |   -227.77000800   |   -227.99587600
3B-69_02b_formaldehyde_dimerAC_mol1   |   -227.99217100   |   -227.76835000   |   -227.99343200
3B-69_03a_methanol_ethyne_dimerAC_mol1   |   -230.36610500   |   -230.12188400   |   -230.36601300
3B-69_03a_methanol_ethyne_dimerAC_mol2   |   -115.18140800   |   -115.05931700   |   -115.18149200
3B-69_03a_methanol_ethyne_trimer_mol1   |   -345.55387600   |   -345.18787700   |   -345.55371500
3B-69_03c_methanol_ethyne_dimerBC_mol1   |   -192.08958700   |   -191.88703500   |   -192.08924300
3B-69_04b_acetonitrile_dimerAC_mol1   |   -264.15566600   |   -263.88732800   |   -264.15592300
3B-69_04c_acetonitrile_trimer_mol1   |   -396.23638500   |   -395.83435100   |   -396.23669200
3B-69_05a_nitromethane_trimer_mol1   |   -731.83150600   |   -731.11551600   |   -731.82772800
3B-69_05c_nitromethane_dimerAB_mol1   |   -487.88710200   |   -487.40914800   |   -487.88515800
