Name   |   Ref (MP2/CBS) (A.U.)   |   Base (MP2/aDZ) (A.U.)   |   ACP_Comp (A.U.)
37Conf8_18crown6_3_mol2   |   -921.768362   |   -920.535551   |   -921.766021
37Conf8_18crown6_4_mol1   |   -921.765904   |   -920.532224   |   -921.76516
37Conf8_18crown6_6_mol1   |   -921.764338   |   -920.529886   |   -921.764745
37Conf8_18crown6_8_mol1   |   -921.75931   |   -920.52758   |   -921.760165
37Conf8_Atropine_6_mol2   |   -940.721015   |   -939.487653   |   -940.720336
37Conf8_Bispidin_3_mol2   |   -384.060239   |   -383.53785   |   -384.058565
37Conf8_Bispidin_5_mol1   |   -384.052356   |   -383.529647   |   -384.050536
37Conf8_Bispidin_6_mol1   |   -384.042396   |   -383.51999   |   -384.040872
37Conf8_Cimetidine_2_mol1   |   -1115.923773   |   -1114.906419   |   -1115.924113
37Conf8_Cimetidine_2_mol2   |   -1115.927275   |   -1114.911635   |   -1115.927462
37Conf8_Cimetidine_4_mol1   |   -1115.912544   |   -1114.893498   |   -1115.911501
37Conf8_Cimetidine_5_mol1   |   -1115.91787   |   -1114.901866   |   -1115.918225
37Conf8_Cimetidine_6_mol1   |   -1115.916856   |   -1114.900429   |   -1115.916556
37Conf8_Cimetidine_8_mol1   |   -1115.902786   |   -1114.8829   |   -1115.90089
37Conf8_Eperisone_2_mol1   |   -791.58047   |   -790.523217   |   -791.580587
37Conf8_Eperisone_5_mol1   |   -791.573743   |   -790.515826   |   -791.574016
37Conf8_Eperisone_6_mol1   |   -791.571377   |   -790.51323   |   -791.571643
37Conf8_Eperisone_8_mol1   |   -791.568249   |   -790.509806   |   -791.567644
37Conf8_Fotemustin_2_mol1   |   -1694.380191   |   -1693.009054   |   -1694.381208
37Conf8_Fotemustin_2_mol2   |   -1694.380988   |   -1693.007901   |   -1694.382498
37Conf8_Fotemustin_3_mol1   |   -1694.37493   |   -1693.003157   |   -1694.375311
37Conf8_Fotemustin_4_mol1   |   -1694.374031   |   -1693.001255   |   -1694.374152
37Conf8_Fotemustin_5_mol1   |   -1694.372337   |   -1693.004023   |   -1694.373867
37Conf8_Fotemustin_6_mol1   |   -1694.368633   |   -1692.998833   |   -1694.369913
37Conf8_Fotemustin_7_mol1   |   -1694.366069   |   -1692.996554   |   -1694.366251
37Conf8_Fotemustin_8_mol1   |   -1694.364925   |   -1692.995183   |   -1694.36705
37Conf8_GABA_5_mol1   |   -362.595634   |   -362.111146   |   -362.595321
37Conf8_GABA_7_mol1   |   -362.591099   |   -362.10654   |   -362.590721
37Conf8_GABA_8_mol2   |   -362.59941   |   -362.114704   |   -362.599323
37Conf8_Gemcitabine_2_mol1   |   -1013.276365   |   -1011.979345   |   -1013.275454
37Conf8_Gemcitabine_4_mol1   |   -1013.271654   |   -1011.974053   |   -1013.270575
37Conf8_Gemcitabine_6_mol1   |   -1013.268856   |   -1011.972291   |   -1013.267888
37Conf8_Gemcitabine_7_mol1   |   -1013.268557   |   -1011.973129   |   -1013.268096
37Conf8_Glufosinate_2_mol1   |   -893.795343   |   -892.965259   |   -893.796861
37Conf8_Glufosinate_4_mol1   |   -893.792878   |   -892.964788   |   -893.794752
37Conf8_Glufosinate_5_mol1   |   -893.786613   |   -892.956753   |   -893.788431
37Conf8_Glufosinate_7_mol1   |   -893.785781   |   -892.956118   |   -893.78817
37Conf8_Glufosinate_8_mol1   |   -893.784449   |   -892.955187   |   -893.785987
37Conf8_Indometacin_2_mol1   |   -1547.555848   |   -1546.065692   |   -1547.556007
37Conf8_Indometacin_2_mol2   |   -1547.558145   |   -1546.068341   |   -1547.558356
37Conf8_Indometacin_3_mol1   |   -1547.553304   |   -1546.063722   |   -1547.553821
37Conf8_Indometacin_4_mol1   |   -1547.55339   |   -1546.063923   |   -1547.554102
37Conf8_Indometacin_6_mol1   |   -1547.548698   |   -1546.058573   |   -1547.548535
37Conf8_Indometacin_7_mol1   |   -1547.547437   |   -1546.057363   |   -1547.547317
37Conf8_Knoevenagel_cond_5_mol2   |   -902.954335   |   -901.752748   |   -902.954815
37Conf8_Knoevenagel_cond_7_mol1   |   -902.940522   |   -901.741306   |   -902.941223
37Conf8_N_iprit_2_mol1   |   -1669.37511   |   -1668.69374   |   -1669.373788
37Conf8_N_iprit_2_mol2   |   -1669.376502   |   -1668.694934   |   -1669.376354
37Conf8_N_iprit_3_mol1   |   -1669.374104   |   -1668.692562   |   -1669.372738
37Conf8_N_iprit_4_mol1   |   -1669.373794   |   -1668.69281   |   -1669.371313
