Name   |   Ref (HF/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_HF (A.U.)
37Conf8_18crown6_3_mol2   |   -917.882025   |   -917.5943   |   -917.88039
37Conf8_18crown6_4_mol1   |   -917.885025   |   -917.596349   |   -917.883414
37Conf8_18crown6_6_mol1   |   -917.885776   |   -917.597003   |   -917.884365
37Conf8_18crown6_8_mol1   |   -917.876133   |   -917.58843   |   -917.874786
37Conf8_Atropine_6_mol2   |   -936.578582   |   -936.305322   |   -936.577909
37Conf8_Bispidin_3_mol2   |   -382.267178   |   -382.157155   |   -382.267148
37Conf8_Bispidin_5_mol1   |   -382.258454   |   -382.148066   |   -382.258501
37Conf8_Bispidin_6_mol1   |   -382.247342   |   -382.137136   |   -382.247673
37Conf8_Cimetidine_2_mol1   |   -1112.534573   |   -1112.306437   |   -1112.534393
37Conf8_Cimetidine_2_mol2   |   -1112.533678   |   -1112.306553   |   -1112.533693
37Conf8_Cimetidine_4_mol1   |   -1112.53052   |   -1112.301587   |   -1112.530812
37Conf8_Cimetidine_5_mol1   |   -1112.527204   |   -1112.299631   |   -1112.527295
37Conf8_Cimetidine_6_mol1   |   -1112.528028   |   -1112.30014   |   -1112.527874
37Conf8_Cimetidine_8_mol1   |   -1112.527241   |   -1112.298472   |   -1112.527065
37Conf8_Eperisone_2_mol1   |   -787.95101   |   -787.719921   |   -787.950746
37Conf8_Eperisone_5_mol1   |   -787.945126   |   -787.713834   |   -787.945015
37Conf8_Eperisone_6_mol1   |   -787.943692   |   -787.712444   |   -787.943727
37Conf8_Eperisone_8_mol1   |   -787.940687   |   -787.709365   |   -787.940694
37Conf8_Fotemustin_2_mol1   |   -1690.25632   |   -1689.904018   |   -1690.258102
37Conf8_Fotemustin_2_mol2   |   -1690.260899   |   -1689.907568   |   -1690.263413
37Conf8_Fotemustin_3_mol1   |   -1690.246582   |   -1689.894367   |   -1690.248516
