Name   |   Ref (MP2/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_MP2 (A.U.)
37Conf8_18crown6_3_mol2   |   -921.768362   |   -917.5943   |   -921.762948
37Conf8_18crown6_4_mol1   |   -921.765904   |   -917.596349   |   -921.767525
37Conf8_18crown6_6_mol1   |   -921.764338   |   -917.597003   |   -921.76274
37Conf8_18crown6_8_mol1   |   -921.75931   |   -917.58843   |   -921.756262
37Conf8_Atropine_6_mol2   |   -940.721015   |   -936.305322   |   -940.719358
37Conf8_Bispidin_3_mol2   |   -384.060239   |   -382.157155   |   -384.054692
37Conf8_Bispidin_5_mol1   |   -384.052356   |   -382.148066   |   -384.049086
37Conf8_Bispidin_6_mol1   |   -384.042396   |   -382.137136   |   -384.040523
37Conf8_Cimetidine_2_mol1   |   -1115.923773   |   -1112.306437   |   -1115.906634
37Conf8_Cimetidine_2_mol2   |   -1115.927275   |   -1112.306553   |   -1115.910446
37Conf8_Cimetidine_4_mol1   |   -1115.912544   |   -1112.301587   |   -1115.894925
37Conf8_Cimetidine_5_mol1   |   -1115.91787   |   -1112.299631   |   -1115.899602
37Conf8_Cimetidine_6_mol1   |   -1115.916856   |   -1112.30014   |   -1115.898983
37Conf8_Cimetidine_8_mol1   |   -1115.902786   |   -1112.298472   |   -1115.889038
37Conf8_Eperisone_2_mol1   |   -791.58047   |   -787.719921   |   -791.576922
37Conf8_Eperisone_5_mol1   |   -791.573743   |   -787.713834   |   -791.572027
37Conf8_Eperisone_6_mol1   |   -791.571377   |   -787.712444   |   -791.568333
37Conf8_Eperisone_8_mol1   |   -791.568249   |   -787.709365   |   -791.565558
37Conf8_Fotemustin_2_mol1   |   -1694.380191   |   -1689.904018   |   -1694.385737
37Conf8_Fotemustin_2_mol2   |   -1694.380988   |   -1689.907568   |   -1694.385062
37Conf8_Fotemustin_3_mol1   |   -1694.37493   |   -1689.894367   |   -1694.373552
37Conf8_Fotemustin_4_mol1   |   -1694.374031   |   -1689.895512   |   -1694.375379
37Conf8_Fotemustin_5_mol1   |   -1694.372337   |   -1689.891445   |   -1694.371455
37Conf8_Fotemustin_6_mol1   |   -1694.368633   |   -1689.889144   |   -1694.370217
37Conf8_Fotemustin_7_mol1   |   -1694.366069   |   -1689.886201   |   -1694.364961
37Conf8_Fotemustin_8_mol1   |   -1694.364925   |   -1689.887775   |   -1694.368067
37Conf8_GABA_5_mol1   |   -362.595634   |   -360.955106   |   -362.590866
37Conf8_GABA_7_mol1   |   -362.591099   |   -360.949153   |   -362.587781
37Conf8_GABA_8_mol2   |   -362.59941   |   -360.953455   |   -362.59826
37Conf8_Gemcitabine_2_mol1   |   -1013.276365   |   -1009.03982   |   -1013.284052
37Conf8_Gemcitabine_4_mol1   |   -1013.271654   |   -1009.035057   |   -1013.279826
37Conf8_Gemcitabine_6_mol1   |   -1013.268856   |   -1009.027856   |   -1013.280654
37Conf8_Gemcitabine_7_mol1   |   -1013.268557   |   -1009.02788   |   -1013.28109
37Conf8_Glufosinate_2_mol1   |   -893.795343   |   -891.124605   |   -893.800657
37Conf8_Glufosinate_4_mol1   |   -893.792878   |   -891.126845   |   -893.80061
37Conf8_Glufosinate_5_mol1   |   -893.786613   |   -891.119137   |   -893.792942
37Conf8_Glufosinate_7_mol1   |   -893.785781   |   -891.125015   |   -893.793866
37Conf8_Glufosinate_8_mol1   |   -893.784449   |   -891.123166   |   -893.791448
37Conf8_Indometacin_2_mol1   |   -1547.555848   |   -1542.367486   |   -1547.550165
37Conf8_Indometacin_2_mol2   |   -1547.558145   |   -1542.371352   |   -1547.55104
37Conf8_Indometacin_3_mol1   |   -1547.553304   |   -1542.363225   |   -1547.548864
37Conf8_Indometacin_4_mol1   |   -1547.55339   |   -1542.361526   |   -1547.548155
37Conf8_Indometacin_6_mol1   |   -1547.548698   |   -1542.35887   |   -1547.542072
37Conf8_Indometacin_7_mol1   |   -1547.547437   |   -1542.359657   |   -1547.541568
37Conf8_Knoevenagel_cond_5_mol2   |   -902.954335   |   -898.751281   |   -902.955337
37Conf8_Knoevenagel_cond_7_mol1   |   -902.940522   |   -898.731107   |   -902.94446
37Conf8_N_iprit_2_mol1   |   -1669.37511   |   -1667.182726   |   -1669.3743
37Conf8_N_iprit_2_mol2   |   -1669.376502   |   -1667.185795   |   -1669.376758
37Conf8_N_iprit_3_mol1   |   -1669.374104   |   -1667.181527   |   -1669.371571
37Conf8_N_iprit_4_mol1   |   -1669.373794   |   -1667.178329   |   -1669.365145
37Conf8_N_iprit_5_mol1   |   -1669.373652   |   -1667.179336   |   -1669.370694
37Conf8_N_iprit_6_mol1   |   -1669.371805   |   -1667.176999   |   -1669.369644
37Conf8_N_iprit_7_mol1   |   -1669.372749   |   -1667.175764   |   -1669.366017
37Conf8_N_iprit_8_mol1   |   -1669.366018   |   -1667.167359   |   -1669.355022
37Conf8_Pantoprazole_2_mol1   |   -1679.681669   |   -1673.886939   |   -1679.673713
37Conf8_Pantoprazole_2_mol2   |   -1679.687704   |   -1673.902906   |   -1679.675507
37Conf8_Pantoprazole_3_mol1   |   -1679.68682   |   -1673.895102   |   -1679.677528
37Conf8_Pantoprazole_4_mol1   |   -1679.680459   |   -1673.896229   |   -1679.668006
37Conf8_Pantoprazole_5_mol1   |   -1679.688393   |   -1673.890034   |   -1679.67907
37Conf8_Pantoprazole_6_mol1   |   -1679.674285   |   -1673.883187   |   -1679.663695
37Conf8_Pantoprazole_7_mol1   |   -1679.678562   |   -1673.881732   |   -1679.663627
37Conf8_Pantoprazole_8_mol1   |   -1679.669056   |   -1673.878183   |   -1679.656777
37Conf8_Propranolol_3_mol1   |   -826.297463   |   -822.384437   |   -826.287049
37Conf8_Propranolol_8_mol2   |   -826.301095   |   -822.382504   |   -826.292508
37Conf8_Pyridoxalphosphate_2_mol1   |   -1157.080413   |   -1153.328973   |   -1157.06239
37Conf8_Pyridoxalphosphate_2_mol2   |   -1157.083477   |   -1153.33338   |   -1157.067369
37Conf8_Pyridoxalphosphate_3_mol1   |   -1157.07903   |   -1153.326182   |   -1157.059324
37Conf8_Pyridoxalphosphate_5_mol1   |   -1157.074396   |   -1153.324247   |   -1157.054243
37Conf8_Pyridoxalphosphate_7_mol1   |   -1157.0678   |   -1153.321092   |   -1157.04911
37Conf8_Pyridoxalphosphate_8_mol1   |   -1157.066885   |   -1153.318882   |   -1157.051793
37Conf8_RAMBO_2_mol1   |   -537.657561   |   -535.051685   |   -537.656788
37Conf8_RAMBO_2_mol2   |   -537.666269   |   -535.061761   |   -537.658155
37Conf8_RAMBO_6_mol1   |   -537.655141   |   -535.04754   |   -537.659473
37Conf8_RH34_6_mol2   |   -1085.779574   |   -1080.805629   |   -1085.778675
37Conf8_Rolipram_2_mol2   |   -901.463381   |   -897.259164   |   -901.461629
37Conf8_shiepox_depox_3_mol1   |   -918.259546   |   -914.177713   |   -918.25559
37Conf8_shiepox_depox_3_mol2   |   -918.262367   |   -914.179866   |   -918.257699
37Conf8_shiepox_depox_6_mol1   |   -918.254677   |   -914.173851   |   -918.248985
37Conf8_shiepox_depox_7_mol1   |   -918.253847   |   -914.173278   |   -918.246494
37Conf8_shiepox_depox_8_mol1   |   -918.251437   |   -914.168559   |   -918.250843
37Conf8_Takemoto_1_mol1   |   -1819.895147   |   -1813.690909   |   -1819.92275
37Conf8_Triacetin_2_mol1   |   -801.792382   |   -798.303538   |   -801.789051
37Conf8_Triacetin_6_mol1   |   -801.779705   |   -798.290955   |   -801.778131
37Conf8_Triacetin_8_mol1   |   -801.771098   |   -798.279842   |   -801.77083
37Conf8_Tsogoeva_2_mol2   |   -987.979876   |   -983.492311   |   -987.977984
37Conf8_Tsogoeva_6_mol1   |   -987.969384   |   -983.486738   |   -987.975274
37Conf8_Tsogoeva_7_mol1   |   -987.96753   |   -983.486783   |   -987.96481
37Conf8_Tsogoeva_8_mol1   |   -987.96441   |   -983.487014   |   -987.959665
37Conf8_VX_2_mol1   |   -1377.822683   |   -1374.247361   |   -1377.83534
37Conf8_VX_3_mol2   |   -1377.825741   |   -1374.250715   |   -1377.839239
37Conf8_VX_5_mol1   |   -1377.822274   |   -1374.242561   |   -1377.833877
37Conf8_VX_6_mol1   |   -1377.819789   |   -1374.240404   |   -1377.831912
37Conf8_VX_8_mol1   |   -1377.817487   |   -1374.236196   |   -1377.829668
37Conf8_XylitolPentanit_3_mol2   |   -1594.593281   |   -1587.914955   |   -1594.568166
37Conf8_XylitolPentanit_7_mol1   |   -1594.57986   |   -1587.903288   |   -1594.558769
37Conf8_XylitolPentanit_8_mol1   |   -1594.577475   |   -1587.902095   |   -1594.55299
3B-69_01a_water_dimerAB_mol1   |   -152.729546   |   -152.077501   |   -152.73306
3B-69_01a_water_dimerAC_mol1   |   -152.735235   |   -152.080148   |   -152.737693
3B-69_01a_water_dimerAC_mol2   |   -76.363705   |   -76.037727   |   -76.365278
3B-69_01a_water_dimerBC_mol3   |   -76.364009   |   -76.03801   |   -76.365647
3B-69_01b_water_dimerAB_mol1   |   -152.734807   |   -152.079571   |   -152.737577
3B-69_01c_water_dimerBC_mol3   |   -76.365358   |   -76.040299   |   -76.366102
3B-69_01c_water_trimer_mol1   |   -229.122247   |   -228.13938   |   -229.118691
3B-69_02a_formaldehyde_dimerAB_mol1   |   -228.739898   |   -227.772753   |   -228.734145
3B-69_02a_formaldehyde_dimerAC_mol1   |   -228.736988   |   -227.770008   |   -228.732623
3B-69_02b_formaldehyde_dimerAC_mol1   |   -228.737792   |   -227.76835   |   -228.730669
3B-69_03a_methanol_ethyne_dimerAC_mol1   |   -231.173533   |   -230.121884   |   -231.170383
3B-69_03a_methanol_ethyne_dimerAC_mol2   |   -115.582785   |   -115.059317   |   -115.582921
3B-69_03a_methanol_ethyne_trimer_mol1   |   -346.768194   |   -345.187877   |   -346.761836
3B-69_03c_methanol_ethyne_dimerBC_mol1   |   -192.781813   |   -191.887035   |   -192.780593
3B-69_04b_acetonitrile_dimerAC_mol1   |   -265.115726   |   -263.887328   |   -265.114576
3B-69_04c_acetonitrile_trimer_mol1   |   -397.678057   |   -395.834351   |   -397.677626
3B-69_05a_nitromethane_trimer_mol1   |   -734.272101   |   -731.115516   |   -734.254579
3B-69_05c_nitromethane_dimerAB_mol1   |   -489.511797   |   -487.409148   |   -489.503849
3B-69_05c_nitromethane_dimerAC_mol1   |   -489.506215   |   -487.405797   |   -489.500877
3B-69_06a_acetic_acid_dimerAB_mol1   |   -457.64883   |   -455.689572   |   -457.647441
3B-69_06a_acetic_acid_dimerAC_mol3   |   -228.824188   |   -227.84509   |   -228.823532
