Name   |   Ref (HF/aDZ + (C/CBS - C/aDZ)) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_C (A.U.)
1-1-1-2-tetrafluorochloroethane   |   -934.146399   |   -933.636003   |   -934.145781
1-1-1-2-tetrafluoroethane   |   -475.159154   |   -474.719798   |   -475.159263
1-1-1-2-tetramethoxyethane   |   -535.377408   |   -534.827155   |   -535.378726
1-1-1-propellane   |   -192.923446   |   -192.714784   |   -192.920427
1-1-1-trichloroethane   |   -1456.303493   |   -1455.993973   |   -1456.303407
1-1-1-trichloropropane   |   -1495.384634   |   -1495.031713   |   -1495.384638
1-1-1-trifluoro-2-2-2-trimethoxyethane   |   -718.248364   |   -717.554207   |   -718.249728
1-1-1-trifluoroethane   |   -376.220252   |   -375.866639   |   -376.220074
1-1-1-trifluoropropane   |   -415.30328   |   -414.90586   |   -415.303334
1-1-1-trimethoxyethane   |   -421.377889   |   -420.941009   |   -421.378886
1-1-2-2-tetrachlorocyclopentane   |   -2031.367392   |   -2030.863944   |   -2031.367882
1-1-2-3-3-3-hexafluoroprop-1-ene   |   -710.920355   |   -710.272757   |   -710.920436
1-1-2-trichloro-1-2-2-trifluoroethane   |   -1753.14813   |   -1752.581891   |   -1753.147265
1-1-2-trichloroethane   |   -1456.310832   |   -1456.000049   |   -1456.309641
1-1-2-trifluoroethene   |   -374.969009   |   -374.622839   |   -374.969202
1-1-2-trifluoropropene   |   -414.061787   |   -413.671282   |   -414.061785
1-1-2-trimethylhydrazine   |   -228.546544   |   -228.295067   |   -228.547923
1-1-3-3-tetrachloropropane   |   -1954.389298   |   -1953.964226   |   -1954.38866
1-1-3-3-tetrafluoropropane   |   -514.241059   |   -513.757363   |   -514.241062
1-1-3-4-oxadiazol-2-yl-3H-imidazol-2-one   |   -559.783372   |   -559.233399   |   -559.781829
1-1-3-trifluoropropene   |   -414.064084   |   -413.673912   |   -414.06468
1-1-diacetoxyethane   |   -533.13653   |   -532.600886   |   -533.137041
1-1-dichloro-1-fluoroethane   |   -1096.271026   |   -1095.947013   |   -1096.270703
1-1-dichloro-1-nitropropane   |   -1240.070746   |   -1239.602879   |   -1240.071066
1-1-dichloro-2-2-2-trifluoroethane   |   -1294.185907   |   -1293.6898   |   -1294.185262
1-1-dichloro-3-3-dimethylurea   |   -1220.267206   |   -1219.811579   |   -1220.262657
1-1-dichloroethane   |   -997.323154   |   -997.084424   |   -997.322658
1-1-dichloroethene   |   -996.114236   |   -995.883037   |   -996.114315
1-1-dichloro-tetrafluoroethane   |   -1393.1255   |   -1392.544542   |   -1393.124718
1-1-difluoro-1-hydroperoxyethane   |   -427.042415   |   -426.633852   |   -427.042152
1-1-difluoro-2-2-ethanediol   |   -427.139075   |   -426.728492   |   -427.138947
1-1-difluoro-2-isocyanatoethane   |   -444.020984   |   -443.599496   |   -444.022271
1-1-difluoro-2-isothiocyanatoethane   |   -766.650976   |   -766.24341   |   -766.651201
1-1-difluoroethane   |   -277.249944   |   -276.982403   |   -277.25003
1-1-difluoroethene   |   -276.036212   |   -275.776215   |   -276.036382
1-1-diisocyanato-2-sulfanylethane   |   -810.475419   |   -810.016855   |   -810.478112
1-1-dimethoxyethane   |   -307.350521   |   -307.026868   |   -307.350615
1-1-dimethoxyethene   |   -306.164894   |   -305.848177   |   -306.164816
1-1-dimethylcyclopropane   |   -195.372786   |   -195.153237   |   -195.372433
1-1-dimethylhydrazine   |   -189.468518   |   -189.260201   |   -189.468476
1-1-dithiocyanatoethane   |   -1058.124944   |   -1057.751788   |   -1058.124823
1-1-dithiocyanatoethene   |   -1056.918685   |   -1056.553235   |   -1056.918853
1-1-ethenediyl_dicyanate   |   -411.596457   |   -411.201127   |   -411.593846
1-1H-pyrrol-2-yl-3H-imidazol-2-one   |   -507.938312   |   -507.425403   |   -507.936958
1-2-3-4-oxatriazole   |   -276.860246   |   -276.593325   |   -276.862739
1-2-3-4-tetrafluorobenzene   |   -626.747542   |   -626.160187   |   -626.748336
