Name   |   Ref (MP2/CBS) (A.U.)   |   Base (MP2/aDZ) (A.U.)   |   ACP_Comp (A.U.)
1-1-1-2-tetrafluorochloroethane   |   -935.565662   |   -934.865536   |   -935.564649
1-1-1-2-tetrafluoroethane   |   -476.417001   |   -475.806042   |   -476.416776
1-1-1-2-tetramethoxyethane   |   -537.233252   |   -536.506562   |   -537.233949
1-1-1-propellane   |   -193.689195   |   -193.424534   |   -193.688232
1-1-1-trichloroethane   |   -1457.128807   |   -1456.739889   |   -1457.128701
1-1-1-trichloropropane   |   -1496.373732   |   -1495.929784   |   -1496.373724
1-1-1-trifluoro-2-2-2-trimethoxyethane   |   -720.414772   |   -719.473871   |   -720.415008
1-1-1-trifluoroethane   |   -377.250798   |   -376.760518   |   -377.250141
1-1-1-trifluoropropane   |   -416.493753   |   -415.948077   |   -416.493307
1-1-1-trimethoxyethane   |   -422.856927   |   -422.280307   |   -422.857486
1-1-2-2-tetrachlorocyclopentane   |   -2032.823098   |   -2032.193957   |   -2032.823616
1-1-2-3-3-3-hexafluoroprop-1-ene   |   -712.776318   |   -711.87198   |   -712.776331
1-1-2-trichloro-1-2-2-trifluoroethane   |   -1754.667375   |   -1753.912819   |   -1754.666065
1-1-2-trichloroethane   |   -1457.128291   |   -1456.737656   |   -1457.126852
1-1-2-trifluoroethene   |   -375.973084   |   -375.490585   |   -375.97377
1-1-2-trifluoropropene   |   -415.225994   |   -414.687564   |   -415.226066
1-1-2-trimethylhydrazine   |   -229.437064   |   -229.112117   |   -229.438239
1-1-3-3-tetrachloropropane   |   -1955.529464   |   -1954.99685   |   -1955.5284
1-1-3-3-tetrafluoropropane   |   -515.657423   |   -514.9922   |   -515.657036
1-1-3-4-oxadiazol-2-yl-3H-imidazol-2-one   |   -561.666578   |   -560.947996   |   -561.664621
1-1-3-trifluoropropene   |   -415.225573   |   -414.688278   |   -415.226408
1-1-diacetoxyethane   |   -534.933166   |   -534.225151   |   -534.933611
1-1-dichloro-1-fluoroethane   |   -1097.163389   |   -1096.74137   |   -1097.162851
1-1-dichloro-1-nitropropane   |   -1241.537938   |   -1240.93521   |   -1241.538718
1-1-dichloro-2-2-2-trifluoroethane   |   -1295.536705   |   -1294.868784   |   -1295.535508
1-1-dichloro-3-3-dimethylurea   |   -1221.682494   |   -1221.093583   |   -1221.678195
1-1-dichloroethane   |   -997.981391   |   -997.680185   |   -997.980917
1-1-dichloroethene   |   -996.749028   |   -996.454002   |   -996.749066
1-1-dichloro-tetrafluoroethane   |   -1394.711597   |   -1393.922896   |   -1394.710406
1-1-difluoro-1-hydroperoxyethane   |   -428.284996   |   -427.729754   |   -428.284354
1-1-difluoro-2-2-ethanediol   |   -428.373313   |   -427.817495   |   -428.373006
1-1-difluoro-2-isocyanatoethane   |   -445.340185   |   -444.768658   |   -445.341769
1-1-difluoro-2-isothiocyanatoethane   |   -767.913833   |   -767.362617   |   -767.915015
1-1-difluoroethane   |   -278.049241   |   -277.682418   |   -278.049205
1-1-difluoroethene   |   -276.810599   |   -276.450125   |   -276.811267
1-1-diisocyanato-2-sulfanylethane   |   -812.02129   |   -811.41476   |   -812.024292
1-1-dimethoxyethane   |   -308.447591   |   -308.020711   |   -308.447513
1-1-dimethoxyethene   |   -307.235547   |   -306.815486   |   -307.235464
1-1-dimethylcyclopropane   |   -196.176554   |   -195.893594   |   -196.176158
1-1-dimethylhydrazine   |   -190.200026   |   -189.931221   |   -190.199676
1-1-dithiocyanatoethane   |   -1059.399209   |   -1058.906099   |   -1059.398263
1-1-dithiocyanatoethene   |   -1058.168216   |   -1057.681536   |   -1058.167035
1-1-ethenediyl_dicyanate   |   -412.947406   |   -412.421514   |   -412.945524
1-1H-pyrrol-2-yl-3H-imidazol-2-one   |   -509.741287   |   -509.075484   |   -509.739535
1-2-3-4-oxatriazole   |   -277.777727   |   -277.43011   |   -277.779146
1-2-3-4-tetrafluorobenzene   |   -628.548858   |   -627.748732   |   -628.549232
1-2-3-4-tetrahydronaphthalene   |   -387.640919   |   -387.118347   |   -387.640528
1-2-3-4-tetrazine   |   -295.915652   |   -295.545739   |   -295.914693
1-2-3-5-oxatriazole   |   -277.762758   |   -277.416652   |   -277.764432
1-2-3-5-tetrazine   |   -295.946511   |   -295.576243   |   -295.946828
1-2-3-5-tetrazole   |   -257.946456   |   -257.619012   |   -257.947038
1-2-3-5-thiatriazolidine   |   -602.770382   |   -602.417053   |   -602.769799
