Name   |   Ref (HF/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_HF (A.U.)
1-1-1-2-tetrafluorochloroethane   |   -933.825734   |   -933.636003   |   -933.825338
1-1-1-2-tetrafluoroethane   |   -474.891401   |   -474.719798   |   -474.891067
1-1-1-2-tetramethoxyethane   |   -535.003591   |   -534.827155   |   -535.002971
1-1-1-propellane   |   -192.770784   |   -192.714784   |   -192.772839
1-1-1-trichloroethane   |   -1456.073371   |   -1455.993973   |   -1456.073351
1-1-1-trichloropropane   |   -1495.12274   |   -1495.031713   |   -1495.122728
1-1-1-trifluoro-2-2-2-trimethoxyethane   |   -717.800952   |   -717.554207   |   -717.799823
1-1-1-trifluoroethane   |   -376.003305   |   -375.866639   |   -376.002827
1-1-1-trifluoropropane   |   -415.054117   |   -414.90586   |   -415.053616
1-1-1-trimethoxyethane   |   -421.080749   |   -420.941009   |   -421.080311
1-1-2-2-tetrachlorocyclopentane   |   -2030.989637   |   -2030.863944   |   -2030.989665
1-1-2-3-3-3-hexafluoroprop-1-ene   |   -710.529496   |   -710.272757   |   -710.529429
1-1-2-trichloro-1-2-2-trifluoroethane   |   -1752.770209   |   -1752.581891   |   -1752.769763
1-1-2-trichloroethane   |   -1456.0799   |   -1456.000049   |   -1456.079653
1-1-2-trifluoroethene   |   -374.759168   |   -374.622839   |   -374.759661
1-1-2-trifluoropropene   |   -413.819207   |   -413.671282   |   -413.819281
1-1-2-trimethylhydrazine   |   -228.368538   |   -228.295067   |   -228.368333
1-1-3-3-tetrachloropropane   |   -1954.071769   |   -1953.964226   |   -1954.071342
1-1-3-3-tetrafluoropropane   |   -513.938889   |   -513.757363   |   -513.9385
1-1-3-4-oxadiazol-2-yl-3H-imidazol-2-one   |   -559.402008   |   -559.233399   |   -559.401594
1-1-3-trifluoropropene   |   -413.821035   |   -413.673912   |   -413.821274
1-1-diacetoxyethane   |   -532.773257   |   -532.600886   |   -532.773191
1-1-dichloro-1-fluoroethane   |   -1096.045019   |   -1095.947013   |   -1096.044804
1-1-dichloro-1-nitropropane   |   -1239.737739   |   -1239.602879   |   -1239.7382
1-1-dichloro-2-2-2-trifluoroethane   |   -1293.861615   |   -1293.6898   |   -1293.861062
1-1-dichloro-3-3-dimethylurea   |   -1219.944862   |   -1219.811579   |   -1219.945113
1-1-dichloroethane   |   -997.146899   |   -997.084424   |   -997.146922
1-1-dichloroethene   |   -995.946864   |   -995.883037   |   -995.946823
1-1-dichloro-tetrafluoroethane   |   -1392.752284   |   -1392.544542   |   -1392.751876
1-1-difluoro-1-hydroperoxyethane   |   -426.780531   |   -426.633852   |   -426.780152
1-1-difluoro-2-2-ethanediol   |   -426.873727   |   -426.728492   |   -426.873548
1-1-difluoro-2-isocyanatoethane   |   -443.749535   |   -443.599496   |   -443.749832
1-1-difluoro-2-isothiocyanatoethane   |   -766.387059   |   -766.24341   |   -766.388017
1-1-difluoroethane   |   -277.081685   |   -276.982403   |   -277.081563
1-1-difluoroethene   |   -275.876691   |   -275.776215   |   -275.87719
1-1-diisocyanato-2-sulfanylethane   |   -810.16482   |   -810.016855   |   -810.16513
1-1-dimethoxyethane   |   -307.130095   |   -307.026868   |   -307.129923
1-1-dimethoxyethene   |   -305.951521   |   -305.848177   |   -305.951516
1-1-dimethylcyclopropane   |   -195.216648   |   -195.153237   |   -195.216605
1-1-dimethylhydrazine   |   -189.320689   |   -189.260201   |   -189.320381
1-1-dithiocyanatoethane   |   -1057.871742   |   -1057.751788   |   -1057.870917
1-1-dithiocyanatoethene   |   -1056.674466   |   -1056.553235   |   -1056.673116
1-1-ethenediyl_dicyanate   |   -411.331689   |   -411.201127   |   -411.332418
1-1H-pyrrol-2-yl-3H-imidazol-2-one   |   -507.578297   |   -507.425403   |   -507.577899
1-2-3-4-oxatriazole   |   -276.674021   |   -276.593325   |   -276.672947
1-2-3-4-tetrafluorobenzene   |   -626.372958   |   -626.160187   |   -626.372538
1-2-3-4-tetrahydronaphthalene   |   -385.839274   |   -385.726069   |   -385.839281
1-2-3-4-tetrazine   |   -294.690737   |   -294.609745   |   -294.691226
1-2-3-5-oxatriazole   |   -276.648416   |   -276.569143   |   -276.64756
1-2-3-5-tetrazine   |   -294.731704   |   -294.650424   |   -294.73211
1-2-3-5-tetrazole   |   -256.869773   |   -256.797583   |   -256.868587
1-2-3-5-thiatriazolidine   |   -601.6725   |   -601.590746   |   -601.673649
1-2-3-6-tetrahydropyridine   |   -249.107791   |   -249.032291   |   -249.107605
1-2-3-dithiazolidin-4-imine   |   -982.118871   |   -982.020539   |   -982.117741
1-2-3-oxadiazole   |   -260.678045   |   -260.600581   |   -260.677244
1-2-3-oxathiazole   |   -604.372941   |   -604.282897   |   -604.373313
1-2-3-thiadiazole-23H-carbonitrile   |   -676.253375   |   -676.1497   |   -676.253809
2003-01-02   |   -278.727175   |   -278.649069   |   -278.727643
1-2-3-triazine-1-3-52H-4H-triol   |   -505.617834   |   -505.466421   |   -505.617707
2003-01-02   |   -240.875453   |   -240.805898   |   -240.874725
1-2-3-trichloropropane   |   -1495.136415   |   -1495.046221   |   -1495.13609
1-2-3-trifluorobenzene   |   -527.482955   |   -527.306029   |   -527.482579
1-2-3-trimethylbenzene   |   -347.951005   |   -347.84514   |   -347.950858
1-2-3-trioxolane   |   -302.570752   |   -302.473774   |   -302.570592
1-2-4-5-hexatetraene   |   -230.674928   |   -230.602117   |   -230.675728
1-2-4-5-tetrafluorobenzene   |   -626.37753   |   -626.164979   |   -626.377037
1-2-4-5-tetraoxane   |   -377.451155   |   -377.330351   |   -377.451541
1-2-4-5-tetrazine   |   -294.716407   |   -294.635401   |   -294.716563
1-2-4-dioxazolidine   |   -282.823315   |   -282.73452   |   -282.823636
1-2-4-oxadiazole   |   -260.715595   |   -260.637861   |   -260.715386
1-2-4-thiadiazole   |   -583.408665   |   -583.330892   |   -583.409521
2004-01-02   |   -278.757718   |   -278.679445   |   -278.757916
1-2-4-triazole-5-mercaptomethyl-3-thione   |   -1075.05357   |   -1074.93639   |   -1075.053759
1-2-4-trimethylbenzene   |   -347.954648   |   -347.848665   |   -347.954504
1-2-4-trioxolane   |   -302.664942   |   -302.566604   |   -302.665268
1-2-5-oxadiazole   |   -260.659857   |   -260.583393   |   -260.659315
