Name   |   Ref (MP2/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_MP2 (A.U.)
1-1-1-2-tetrafluorochloroethane   |   -935.565662   |   -933.636003   |   -935.563037
1-1-1-2-tetrafluoroethane   |   -476.417001   |   -474.719798   |   -476.419505
1-1-1-2-tetramethoxyethane   |   -537.233252   |   -534.827155   |   -537.232361
1-1-1-propellane   |   -193.689195   |   -192.714784   |   -193.681268
1-1-1-trichloroethane   |   -1457.128807   |   -1455.993973   |   -1457.121969
1-1-1-trichloropropane   |   -1496.373732   |   -1495.031713   |   -1496.368395
1-1-1-trifluoro-2-2-2-trimethoxyethane   |   -720.414772   |   -717.554207   |   -720.415452
1-1-1-trifluoroethane   |   -377.250798   |   -375.866639   |   -377.256023
1-1-1-trifluoropropane   |   -416.493753   |   -414.90586   |   -416.495927
1-1-1-trimethoxyethane   |   -422.856927   |   -420.941009   |   -422.857324
1-1-2-2-tetrachlorocyclopentane   |   -2032.823098   |   -2030.863944   |   -2032.822345
1-1-2-3-3-3-hexafluoroprop-1-ene   |   -712.776318   |   -710.272757   |   -712.786244
1-1-2-trichloro-1-2-2-trifluoroethane   |   -1754.667375   |   -1752.581891   |   -1754.66343
1-1-2-trichloroethane   |   -1457.128291   |   -1456.000049   |   -1457.119183
1-1-2-trifluoroethene   |   -375.973084   |   -374.622839   |   -375.978942
1-1-2-trifluoropropene   |   -415.225994   |   -413.671282   |   -415.231456
1-1-2-trimethylhydrazine   |   -229.437064   |   -228.295067   |   -229.444748
1-1-3-3-tetrachloropropane   |   -1955.529464   |   -1953.964226   |   -1955.520409
1-1-3-3-tetrafluoropropane   |   -515.657423   |   -513.757363   |   -515.662658
1-1-3-4-oxadiazol-2-yl-3H-imidazol-2-one   |   -561.666578   |   -559.233399   |   -561.651305
1-1-3-trifluoropropene   |   -415.225573   |   -413.673912   |   -415.232615
1-1-diacetoxyethane   |   -534.933166   |   -532.600886   |   -534.93131
1-1-dichloro-1-fluoroethane   |   -1097.163389   |   -1095.947013   |   -1097.161252
1-1-dichloro-1-nitropropane   |   -1241.537938   |   -1239.602879   |   -1241.538481
1-1-dichloro-2-2-2-trifluoroethane   |   -1295.536705   |   -1293.6898   |   -1295.533734
1-1-dichloro-3-3-dimethylurea   |   -1221.682494   |   -1219.811579   |   -1221.681596
1-1-dichloroethane   |   -997.981391   |   -997.084424   |   -997.97598
1-1-dichloroethene   |   -996.749028   |   -995.883037   |   -996.74268
1-1-dichloro-tetrafluoroethane   |   -1394.711597   |   -1392.544542   |   -1394.708861
1-1-difluoro-1-hydroperoxyethane   |   -428.284996   |   -426.633852   |   -428.283549
1-1-difluoro-2-2-ethanediol   |   -428.373313   |   -426.728492   |   -428.371619
1-1-difluoro-2-isocyanatoethane   |   -445.340185   |   -443.599496   |   -445.336547
1-1-difluoro-2-isothiocyanatoethane   |   -767.913833   |   -766.24341   |   -767.915858
1-1-difluoroethane   |   -278.049241   |   -276.982403   |   -278.052955
1-1-difluoroethene   |   -276.810599   |   -275.776215   |   -276.815493
1-1-diisocyanato-2-sulfanylethane   |   -812.02129   |   -810.016855   |   -812.01024
1-1-dimethoxyethane   |   -308.447591   |   -307.026868   |   -308.444813
1-1-dimethoxyethene   |   -307.235547   |   -305.848177   |   -307.237226
1-1-dimethylcyclopropane   |   -196.176554   |   -195.153237   |   -196.167074
1-1-dimethylhydrazine   |   -190.200026   |   -189.260201   |   -190.198866
1-1-dithiocyanatoethane   |   -1059.399209   |   -1057.751788   |   -1059.392946
1-1-dithiocyanatoethene   |   -1058.168216   |   -1056.553235   |   -1058.157292
1-1-ethenediyl_dicyanate   |   -412.947406   |   -411.201127   |   -412.923381
1-1H-pyrrol-2-yl-3H-imidazol-2-one   |   -509.741287   |   -507.425403   |   -509.725404
1-2-3-4-oxatriazole   |   -277.777727   |   -276.593325   |   -277.760222
1-2-3-4-tetrafluorobenzene   |   -628.548858   |   -626.160187   |   -628.550709
1-2-3-4-tetrahydronaphthalene   |   -387.640919   |   -385.726069   |   -387.635982
1-2-3-4-tetrazine   |   -295.915652   |   -294.609745   |   -295.91341
1-2-3-5-oxatriazole   |   -277.762758   |   -276.569143   |   -277.746333
1-2-3-5-tetrazine   |   -295.946511   |   -294.650424   |   -295.945174
1-2-3-5-tetrazole   |   -257.946456   |   -256.797583   |   -257.93072
1-2-3-5-thiatriazolidine   |   -602.770382   |   -601.590746   |   -602.770849
1-2-3-6-tetrahydropyridine   |   -250.262231   |   -249.032291   |   -250.264346
1-2-3-dithiazolidin-4-imine   |   -983.330147   |   -982.020539   |   -983.336628
1-2-3-oxadiazole   |   -261.745248   |   -260.600581   |   -261.73348
1-2-3-oxathiazole   |   -605.416419   |   -604.282897   |   -605.413916
1-2-3-thiadiazole-23H-carbonitrile   |   -677.626088   |   -676.1497   |   -677.627915
2003-01-02   |   -279.907197   |   -278.649069   |   -279.909977
1-2-3-triazine-1-3-52H-4H-triol   |   -507.665869   |   -505.466421   |   -507.673863
2003-01-02   |   -241.908583   |   -240.805898   |   -241.895819
1-2-3-trichloropropane   |   -1496.375206   |   -1495.046221   |   -1496.368858
1-2-3-trifluorobenzene   |   -529.377844   |   -527.306029   |   -529.379669
1-2-3-trimethylbenzene   |   -349.592728   |   -347.84514   |   -349.587189
1-2-3-trioxolane   |   -303.757351   |   -302.473774   |   -303.738952
1-2-4-5-hexatetraene   |   -231.710593   |   -230.602117   |   -231.713647
1-2-4-5-tetrafluorobenzene   |   -628.553695   |   -626.164979   |   -628.55888
1-2-4-5-tetraoxane   |   -378.89816   |   -377.330351   |   -378.886399
1-2-4-5-tetrazine   |   -295.936706   |   -294.635401   |   -295.928678
1-2-4-dioxazolidine   |   -283.970777   |   -282.73452   |   -283.957671
1-2-4-oxadiazole   |   -261.767748   |   -260.637861   |   -261.76053
1-2-4-thiadiazole   |   -584.399588   |   -583.330892   |   -584.391295
2004-01-02   |   -279.932748   |   -278.679445   |   -279.929515
1-2-4-triazole-5-mercaptomethyl-3-thione   |   -1076.653434   |   -1074.93639   |   -1076.653133
1-2-4-trimethylbenzene   |   -349.593973   |   -347.848665   |   -349.587018
1-2-4-trioxolane   |   -303.839333   |   -302.566604   |   -303.819171
1-2-5-oxadiazole   |   -261.72839   |   -260.583393   |   -261.719824
1-2-5-oxathiazolidine-4-carboxylic_acid   |   -794.97229   |   -793.058711   |   -794.973667
2005-01-02   |   -241.916105   |   -240.813167   |   -241.907747
1-2-6-oxathiazine   |   -643.404099   |   -642.09315   |   -643.40478
1-2-acetylenediol   |   -227.493716   |   -226.544873   |   -227.491392
2000-01-02   |   -155.690236   |   -154.918293   |   -155.69251
1-2-butanediamine   |   -268.735978   |   -267.386097   |   -268.735312
1-2-chloroethyl-1-nitrosourea   |   -891.810206   |   -889.671804   |   -891.814498
1-2-diaminopropane   |   -229.493162   |   -228.348803   |   -229.492366
1-2-dichloro-1-1-2-2-tetrafluoroethane   |   -1394.706476   |   -1392.540087   |   -1394.703188
1-2-dichloro-1-2-dihydropyrimidine   |   -1183.371457   |   -1181.658459   |   -1183.365069
1-2-dichloro-1-cyanoethane   |   -1090.093311   |   -1088.815577   |   -1090.088758
1-2-dichlorobutane   |   -1076.47414   |   -1075.169495   |   -1076.471099
1-2-dichloroethane   |   -997.97923   |   -997.08637   |   -997.974004
1-2-dichloroethyl_hydroperoxide   |   -1148.203677   |   -1146.723386   |   -1148.190302
1-2-dichloropropane   |   -1037.228173   |   -1036.128052   |   -1037.223116
1-2-dicyano-1-2-ethenedithiol   |   -1058.187679   |   -1056.574791   |   -1058.16547
1-2-dicyano-2-hydroxylamino-ethane   |   -394.300841   |   -392.560656   |   -394.299913
1-2-dicyanofluoroethane   |   -363.084374   |   -361.571371   |   -363.086638
1-2-diethoxyethane   |   -386.935029   |   -385.109673   |   -386.933208
1-2-difluoro-3-nitrobenzene   |   -634.517422   |   -631.938219   |   -634.515706
1-2-difluoroethane   |   -278.026877   |   -276.964304   |   -278.034279
1-2-dihydro-3H-1-2-4-triazol-3-ylidenemethanone   |   -355.039643   |   -353.494529   |   -355.032771
1-2-diisocyanatoethane   |   -414.269037   |   -412.485351   |   -414.256844
1-2-dimethoxyethane   |   -308.438949   |   -307.021357   |   -308.437124
1-2-dimethylhydrazine   |   -190.196233   |   -189.260416   |   -190.203027
1-2-divinylbenzene   |   -386.38137   |   -384.506534   |   -386.376258
1-2-ethanediol   |   -229.989468   |   -228.974712   |   -229.988834
1-2-ethanediyl_dicyanate   |   -414.175334   |   -412.402465   |   -414.154222
1-2-fluoroethyl-1-nitrosourea   |   -531.833958   |   -529.611007   |   -531.843768
1-2-furylpyridin-2-one   |   -551.568319   |   -549.094392   |   -551.569297
1-2-furylpyrrole   |   -438.352716   |   -436.330919   |   -438.345765
1-2-naphthalenedione   |   -534.335371   |   -531.954662   |   -534.329993
1-2-oxazole-4-carbonitrile   |   -337.833063   |   -336.361286   |   -337.830775
1-2-pentadiene   |   -194.934073   |   -193.956814   |   -194.936455
1-2-propadiene-1-3-dione   |   -264.409181   |   -263.313067   |   -264.400533
1-2-thiazole-1-oxide   |   -643.450953   |   -642.111556   |   -643.444138
1-2-thiazole-32H-thione   |   -966.089165   |   -964.854161   |   -966.083122
1-2-thiazole-3-carbonitrile   |   -660.473523   |   -659.059408   |   -660.460495
1-2-thiazole-4-carbonitrile   |   -660.474242   |   -659.063851   |   -660.464773
1-2-thienylpyridin-4-one   |   -874.163409   |   -871.752644   |   -874.156145
1-3-2-dithiazole   |   -928.012308   |   -926.943629   |   -928.016183
1-3-2-oxathiazole   |   -605.366311   |   -604.23066   |   -605.364398
1-3-4-oxadiazole   |   -261.778458   |   -260.649489   |   -261.768342
1-3-4-thiadiazolidine-2-5-dithione   |   -1379.87268   |   -1378.373724   |   -1379.870915
2004-01-03   |   -241.923444   |   -240.830209   |   -241.911355
2005-01-03   |   -279.974303   |   -278.733002   |   -279.974905
1-3-5-trifluorobenzene   |   -529.38929   |   -527.3186   |   -529.399425
2005-01-03   |   -343.174811   |   -341.704239   |   -343.170112
2005-01-03   |   -1310.960381   |   -1309.691627   |   -1310.96524
1-3-benzodithiole-2-thione   |   -1461.96431   |   -1460.023294   |   -1461.954147
2000-01-03   |   -155.710806   |   -154.940627   |   -155.708297
1-3-butanediol   |   -308.480232   |   -307.055798   |   -308.47853
1-3-cyclohexadiene   |   -233.009751   |   -231.858514   |   -233.008742
1-3-cyclopentadiene   |   -193.765447   |   -192.814905   |   -193.7636
2000-01-03   |   -263.930016   |   -262.726379   |   -263.931031
1-3-dichlorobutane   |   -1076.474595   |   -1075.171632   |   -1076.471854
1-3-dichloronitropropane   |   -1241.545033   |   -1239.624213   |   -1241.539839
1-3-dichloropropane   |   -1037.227268   |   -1036.130242   |   -1037.222379
1-3-diethylthiourea   |   -704.542255   |   -702.81043   |   -704.550404
1-3-difluoropyrrole   |   -408.103675   |   -406.46381   |   -408.106368
1-3-dihydro-2H-benzimidazole-2-thione   |   -777.060763   |   -775.077275   |   -777.055298
1-3-dihydro-2H-imidazol-2-one   |   -301.078413   |   -299.746647   |   -301.069046
1-3-dihydro-2H-pyrrol-2-one   |   -285.010103   |   -283.729944   |   -285.00921
1-3-dimethylnaphthalene   |   -463.739355   |   -461.475152   |   -463.729214
1-3-dinitrobenzene   |   -640.496501   |   -637.73214   |   -640.493555
2000-01-03   |   -307.262844   |   -305.875586   |   -307.262338
2000-01-03   |   -228.739335   |   -227.763682   |   -228.722222
1-3-dioxolan-2-one   |   -342.014224   |   -340.581043   |   -342.010659
2000-01-03   |   -268.01116   |   -266.830653   |   -268.004634
1-3dioxolo4-5-dpyrimidine   |   -452.281293   |   -450.324303   |   -452.269642
1-3-dithiane-2-thione   |   -1349.006523   |   -1347.561393   |   -1349.00629
1-3-dithiolane-2-thione   |   -1309.769935   |   -1308.531209   |   -1309.772865
1-3-dithiole-2-thione   |   -1308.558383   |   -1307.344209   |   -1308.551878
1-3dithiolo4-5-dpyrimidine   |   -1097.485145   |   -1095.658028   |   -1097.481796
1-3-oxazolidine-2-5-dithione   |   -1041.258001   |   -1039.746964   |   -1041.262104
1-3-pentadiyne   |   -192.482421   |   -191.563258   |   -192.47466
1-3-propanediol   |   -269.231329   |   -268.012364   |   -269.228998
1-3-propanedithiol   |   -914.407082   |   -913.340359   |   -914.407733
1-3-pyridinylethanone   |   -400.341279   |   -398.517018   |   -400.345296
1-3-thiazol-2-yl_thiocyanate   |   -1058.215393   |   -1056.58363   |   -1058.203876
1-3-thiazol-5-ylacetylenethiol   |   -1042.128197   |   -1040.545589   |   -1042.120383
1-3-thiazolidine-2-thione   |   -967.31408   |   -966.053603   |   -967.317948
1-4-butanediol   |   -308.473981   |   -307.051746   |   -308.473531
1-4-butanedithiol   |   -953.651177   |   -952.380154   |   -953.652485
1-4-cyclohexadiene   |   -233.008775   |   -231.861152   |   -233.009227
1-4-diazabicyclo2-2-2octane   |   -344.789559   |   -343.092357   |   -344.795793
1-4-dichlorobutane   |   -1076.469766   |   -1075.168603   |   -1076.464911
1-4-dimethylcyclohexane   |   -313.95036   |   -312.312087   |   -313.944913
1-4-dimethylnaphthalene   |   -463.739186   |   -461.472791   |   -463.729022
1-4-dimethylnorborane   |   -351.991208   |   -350.171457   |   -351.981589
1-4-dimethylpiperazine   |   -345.999037   |   -344.273037   |   -345.999058
2000-01-04   |   -307.253354   |   -305.867684   |   -307.254186
2000-01-04   |   -952.463158   |   -951.212379   |   -952.464656
1-4-naphthalenedione   |   -534.347442   |   -531.969197   |   -534.341918
1-4-pentadiene   |   -194.946903   |   -193.973106   |   -194.945979
1-4-pyridylethanone   |   -400.340843   |   -398.513979   |   -400.341407
1-5-heptadiyne   |   -270.96323   |   -269.641728   |   -270.963991
2000-01-05   |   -234.19081   |   -233.011802   |   -234.190438
1-6-dimethylnaphthalene   |   -463.739245   |   -461.476681   |   -463.727888
1-amino-1-2-dicyanoethene   |   -317.995266   |   -316.573702   |   -317.989441
1-azido-2-chloroethane   |   -702.233504   |   -700.864344   |   -702.234815
1-azido-3-chloro-2-propanol   |   -816.638293   |   -814.774739   |   -816.642274
1-butanamine   |   -213.445797   |   -212.350192   |   -213.445304
1999-12-31   |   -233.317408   |   -232.18303   |   -233.317054
1-buten-3-yne   |   -154.467159   |   -153.726468   |   -154.465808
1999-12-31   |   -156.932908   |   -156.125338   |   -156.931779
1-butoxybutane   |   -390.278275   |   -388.329747   |   -390.278028
1-butylsulfonylbutane   |   -863.205959   |   -860.673042   |   -863.2087
1999-12-31   |   -155.694086   |   -154.917114   |   -155.694328
1-carboxymethylamino-2-diazonioethenolate   |   -544.698828   |   -542.368337   |   -544.693809
1-chloro-1-1-difluoroethane   |   -737.20422   |   -735.904645   |   -737.206064
1-chloro-1-3-butadiene   |   -614.866927   |   -613.863492   |   -614.860864
1-chloro-1-cyano-2-isocyanatoethane   |   -798.239024   |   -796.514571   |   -798.230274
1-chloro-1-ethyl-3-nitrosourea   |   -891.745876   |   -889.607751   |   -891.749688
1-chloro-1-fluoroethane   |   -638.011897   |   -637.030991   |   -638.011148
1-chloro-1-fluoroethene   |   -636.776962   |   -635.827202   |   -636.775924
1-chloro-2-butene   |   -616.09015   |   -615.054846   |   -616.088774
1-chloro-2-ethoxyethane   |   -692.459009   |   -691.101346   |   -692.456785
1-chloro-2-methylbenzene   |   -730.256497   |   -728.691426   |   -730.252772
1-chloro-3-diazo-2-propanone   |   -760.151467   |   -758.586739   |   -760.147717
1-chloro-4-5-dihydro-1H-1-2-3-triazole   |   -702.187712   |   -700.83256   |   -702.187052
1-chloro-4-isothiocyanato-2-butyne   |   -1104.713714   |   -1103.103426   |   -1104.7129
1-chloroallyl_isothiocyanate   |   -1066.71353   |   -1065.271743   |   -1066.713537
