Name   |   Ref (HF/aDZ + (C/CBS - C/aDZ)) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_C (A.U.)
0.0_B   |   -24.54277   |   -24.530574   |   -24.542778
0.0_C   |   -37.709979   |   -37.687763   |   -37.709975
0.0_Cl   |   -459.54062   |   -459.472781   |   -459.54062
0.0_F   |   -99.463663   |   -99.381092   |   -99.463663
0.0_H   |   -0.499334   |   -0.499334   |   -0.499339
0.0_N   |   -54.427896   |   -54.393183   |   -54.427904
0.0_O   |   -74.854411   |   -74.796601   |   -74.854403
0.0_P   |   -340.736045   |   -340.709957   |   -340.736043
0.0_S   |   -397.544064   |   -397.49874   |   -397.544072
0.0_Si   |   -288.866901   |   -288.850936   |   -288.866908
0.0a_B   |   -24.535339   |   -24.519542   |   -24.535338
0.0a_C   |   -37.731983   |   -37.70495   |   -37.731976
0.0a_Cl   |   -459.64388   |   -459.563645   |   -459.643879
0.0a_F   |   -99.523147   |   -99.428282   |   -99.523148
0.0a_H   |   -0.491836   |   -0.48678   |   -0.491833
0.0a_N   |   -54.354382   |   -54.324899   |   -54.354415
0.0a_O   |   -74.847341   |   -74.777373   |   -74.847328
0.0a_P   |   -340.733114   |   -340.696508   |   -340.733108
0.0a_S   |   -397.589641   |   -397.532584   |   -397.589637
0.0a_Si   |   -288.903471   |   -288.882761   |   -288.903471
0.0c_B   |   -24.241926   |   -24.235014   |   -24.241929
0.0c_C   |   -37.305993   |   -37.290253   |   -37.306
0.0c_N   |   -53.908635   |   -53.881265   |   -53.908632
0.0c_O   |   -74.394868   |   -74.353498   |   -74.394868
0.0c_P   |   -340.363669   |   -340.344557   |   -340.363666
0.0c_S   |   -397.191029   |   -397.159772   |   -397.191029
0.0c_Si   |   -288.580299   |   -288.569751   |   -288.580298
1.0_B2   |   -49.068739   |   -49.032457   |   -49.068742
1.0_BH   |   -25.145716   |   -25.126424   |   -25.145683
1.0_C2   |   -75.455802   |   -75.388341   |   -75.455797
1.0_CH   |   -38.306576   |   -38.27543   |   -38.306571
1.0_Cl2   |   -919.118838   |   -918.965661   |   -919.118838
1.0_ClH   |   -460.170444   |   -460.092616   |   -460.170444
1.0_F2   |   -198.878161   |   -198.701661   |   -198.878162
1.0_FH   |   -100.127255   |   -100.033149   |   -100.127255
1.0_H2   |   -1.135662   |   -1.128809   |   -1.135658
1.0_N2   |   -109.061763   |   -108.961288   |   -109.061769
1.0_NH   |   -55.017083   |   -54.971991   |   -55.016995
1.0_O2   |   -149.776099   |   -149.644192   |   -149.776104
1.0_OH   |   -75.472528   |   -75.403558   |   -75.472584
1.0_P2   |   -681.549675   |   -681.47032   |   -681.549676
1.0_PH   |   -341.321533   |   -341.288064   |   -341.321558
1.0_S2   |   -795.176381   |   -795.06714   |   -795.176387
1.0_SH   |   -398.146416   |   -398.092155   |   -398.146415
1.0_Si2   |   -577.773344   |   -577.725286   |   -577.773344
1.0_SiH   |   -289.452939   |   -289.430357   |   -289.452926
S66by10_10_0.7_dimer   |   -190.653725   |   -190.436549   |   -190.655907
S66by10_10_0.8_dimer   |   -190.669983   |   -190.45357   |   -190.671736
S66by10_10_0.95_dimer   |   -190.678498   |   -190.46263   |   -190.679716
S66by10_10_0.9_dimer   |   -190.676876   |   -190.460884   |   -190.678261
S66by10_10_1.05_dimer   |   -190.679912   |   -190.464153   |   -190.680875
S66by10_10_2.0_dimer   |   -190.678092   |   -190.461757   |   -190.678639
S66by10_11_0.7_dimer   |   -342.615662   |   -342.248716   |   -342.615225
S66by10_11_0.8_dimer   |   -342.632386   |   -342.265972   |   -342.632543
S66by10_11_0.95_dimer   |   -342.641323   |   -342.27533   |   -342.641884
S66by10_11_0.9_dimer   |   -342.639594   |   -342.273501   |   -342.640089
S66by10_11_1.05_dimer   |   -342.642853   |   -342.276956   |   -342.643464
S66by10_11_1.0_dimer   |   -342.642311   |   -342.276398   |   -342.642909
S66by10_11_2.0_dimer   |   -342.640316   |   -342.27354   |   -342.640811
S66by10_12_0.7_dimer   |   -171.442066   |   -171.253568   |   -171.443541
S66by10_12_0.8_dimer   |   -171.458158   |   -171.270344   |   -171.458986
S66by10_12_0.95_dimer   |   -171.46608   |   -171.278845   |   -171.466505
S66by10_12_0.9_dimer   |   -171.464702   |   -171.277323   |   -171.465233
S66by10_12_1.05_dimer   |   -171.466843   |   -171.279824   |   -171.46715
S66by10_12_1.5_dimer   |   -171.46285   |   -171.27592   |   -171.462717
S66by10_12_2.0_dimer   |   -171.460348   |   -171.273265   |   -171.460147
S66by10_13_0.7_dimer   |   -362.465271   |   -362.084323   |   -362.464892
S66by10_13_0.8_dimer   |   -362.480789   |   -362.100348   |   -362.480692
S66by10_13_0.95_dimer   |   -362.488974   |   -362.108811   |   -362.489258
S66by10_13_0.9_dimer   |   -362.487443   |   -362.10721   |   -362.487631
S66by10_13_1.05_dimer   |   -362.490216   |   -362.110087   |   -362.4905
S66by10_13_1.0_dimer   |   -362.489834   |   -362.109689   |   -362.490123
S66by10_13_2.0_dimer   |   -362.486638   |   -362.105781   |   -362.486835
