Name   |   Ref (MP2/CBS) (A.U.)   |   Base (MP2/aDZ) (A.U.)   |   ACP_Comp (A.U.)   
0.0_B   |   -24.582469   |   -24.567644   |   -24.582474   
0.0_C   |   -37.769683   |   -37.741464   |   -37.769676   
0.0_Cl   |   -459.677251   |   -459.59215   |   -459.677251   
0.0_F   |   -99.653202   |   -99.535699   |   -99.653201   
0.0_H   |   -0.499983   |   -0.499334   |   -0.499985   
0.0_N   |   -54.514237   |   -54.468173   |   -54.514249   
0.0_O   |   -74.98705   |   -74.906967   |   -74.987043   
0.0_P   |   -340.81236   |   -340.776883   |   -340.812365   
0.0_S   |   -397.648655   |   -397.588621   |   -397.648663   
0.0_Si   |   -288.921417   |   -288.89747   |   -288.921424   
0.0a_B   |   -24.591183   |   -24.572921   |   -24.591183   
0.0a_C   |   -37.81753   |   -37.785093   |   -37.817529   
0.0a_Cl   |   -459.816469   |   -459.722753   |   -459.816468   
0.0a_F   |   -99.791772   |   -99.665937   |   -99.791773   
0.0a_H   |   -0.517919   |   -0.51179   |   -0.51792   
0.0a_N   |   -54.486442   |   -54.441692   |   -54.486464   
0.0a_O   |   -75.043954   |   -74.953596   |   -75.04394   
0.0a_P   |   -340.8342   |   -340.786642   |   -340.834194   
0.0a_S   |   -397.724998   |   -397.654604   |   -397.724997   
0.0a_Si   |   -288.973789   |   -288.945755   |   -288.973789   
0.0c_B   |   -24.277219   |   -24.26767   |   -24.277221   
0.0c_C   |   -37.354301   |   -37.33191   |   -37.354303   
0.0c_N   |   -53.976186   |   -53.936105   |   -53.976182   
0.0c_O   |   -74.490675   |   -74.425731   |   -74.490678   
0.0c_P   |   -340.424753   |   -340.394891   |   -340.42475   
0.0c_S   |   -397.274986   |   -397.229502   |   -397.27499   
0.0c_Si   |   -288.623946   |   -288.60486   |   -288.623947   
1.0_B2   |   -49.199294   |   -49.149106   |   -49.199297   
1.0_BH   |   -25.213315   |   -25.188799   |   -25.213285   
1.0_C2   |   -75.790951   |   -75.705038   |   -75.790946   
1.0_CH   |   -38.398496   |   -38.358335   |   -38.398508   
1.0_Cl2   |   -919.455509   |   -919.258191   |   -919.455508   
1.0_ClH   |   -460.349337   |   -460.251709   |   -460.349336   
1.0_F2   |   -199.376916   |   -199.125655   |   -199.376917   
1.0_FH   |   -100.386964   |   -100.255803   |   -100.386964   
1.0_H2   |   -1.167723   |   -1.156114   |   -1.167715   
1.0_N2   |   -109.410542   |   -109.276862   |   -109.410547   
1.0_NH   |   -55.142021   |   -55.082544   |   -55.141945   
1.0_O2   |   -150.183491   |   -150.002602   |   -150.183492   
1.0_OH   |   -75.658828   |   -75.565562   |   -75.658863   
1.0_P2   |   -681.811666   |   -681.702119   |   -681.811666   
1.0_PH   |   -341.421957   |   -341.374373   |   -341.421973   
1.0_S2   |   -795.467823   |   -795.317191   |   -795.467826   
1.0_SH   |   -398.28489   |   -398.212302   |   -398.284868   
1.0_Si2   |   -577.946152   |   -577.872127   |   -577.946151   
1.0_SiH   |   -289.532854   |   -289.498068   |   -289.532837   
S66by10_10_0.7_dimer   |   -191.417965   |   -191.137193   |   -191.419641   
S66by10_10_0.8_dimer   |   -191.429803   |   -191.149669   |   -191.431308   
