Name   |   Ref (HF/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_HF (A.U.)
0.0_B   |   -24.533202   |   -24.530574   |   -24.5332
0.0_C   |   -37.693766   |   -37.687763   |   -37.693763
0.0_Cl   |   -459.490043   |   -459.472781   |   -459.490043
0.0_F   |   -99.416023   |   -99.381092   |   -99.416023
0.0_H   |   -0.499983   |   -0.499334   |   -0.49998
0.0_N   |   -54.404534   |   -54.393183   |   -54.404538
0.0_O   |   -74.818873   |   -74.796601   |   -74.818875
0.0_P   |   -340.719346   |   -340.709957   |   -340.719353
0.0_S   |   -397.513449   |   -397.49874   |   -397.51345
0.0_Si   |   -288.858918   |   -288.850936   |   -288.858918
0.0a_B   |   -24.522006   |   -24.519542   |   -24.522008
0.0a_C   |   -37.710354   |   -37.70495   |   -37.71036
0.0a_Cl   |   -459.577126   |   -459.563645   |   -459.577126
0.0a_F   |   -99.459252   |   -99.428282   |   -99.459252
0.0a_H   |   -0.487853   |   -0.48678   |   -0.487857
0.0a_N   |   -54.340165   |   -54.324899   |   -54.340155
0.0a_O   |   -74.797762   |   -74.777373   |   -74.797762
0.0a_P   |   -340.707461   |   -340.696508   |   -340.70746
0.0a_S   |   -397.545921   |   -397.532584   |   -397.545924
0.0a_Si   |   -288.890084   |   -288.882761   |   -288.890085
0.0c_B   |   -24.23765   |   -24.235014   |   -24.23765
0.0c_C   |   -37.296904   |   -37.290253   |   -37.296899
0.0c_N   |   -53.893975   |   -53.881265   |   -53.893975
0.0c_O   |   -74.377072   |   -74.353498   |   -74.377075
0.0c_P   |   -340.355308   |   -340.344557   |   -340.355307
0.0c_S   |   -397.174   |   -397.159772   |   -397.174003
0.0c_Si   |   -288.57829   |   -288.569751   |   -288.578291
1.0_B2   |   -49.046363   |   -49.032457   |   -49.046363
1.0_BH   |   -25.131648   |   -25.126424   |   -25.131651
1.0_C2   |   -75.406793   |   -75.388341   |   -75.406793
1.0_CH   |   -38.284445   |   -38.27543   |   -38.284462
1.0_Cl2   |   -919.009802   |   -918.965661   |   -919.009801
1.0_ClH   |   -460.112415   |   -460.092616   |   -460.112415
1.0_F2   |   -198.776422   |   -198.701661   |   -198.776422
1.0_FH   |   -100.070205   |   -100.033149   |   -100.070204
1.0_H2   |   -1.133565   |   -1.128809   |   -1.133561
1.0_N2   |   -108.994494   |   -108.961288   |   -108.994492
1.0_NH   |   -54.986375   |   -54.971991   |   -54.986388
1.0_O2   |   -149.693173   |   -149.644192   |   -149.69317
1.0_OH   |   -75.427854   |   -75.403558   |   -75.427833
1.0_P2   |   -681.500511   |   -681.47032   |   -681.500511
1.0_PH   |   -341.30218   |   -341.288064   |   -341.30217
1.0_S2   |   -795.108531   |   -795.06714   |   -795.108528
1.0_SH   |   -398.110482   |   -398.092155   |   -398.110461
1.0_Si2   |   -577.751254   |   -577.725286   |   -577.751252
1.0_SiH   |   -289.442561   |   -289.430357   |   -289.442557
S66by10_10_0.7_dimer   |   -190.500145   |   -190.436549   |   -190.499639
S66by10_10_0.8_dimer   |   -190.517291   |   -190.45357   |   -190.517043
S66by10_10_0.95_dimer   |   -190.526558   |   -190.46263   |   -190.526552
S66by10_10_0.9_dimer   |   -190.52474   |   -190.460884   |   -190.52466
S66by10_10_1.05_dimer   |   -190.528221   |   -190.464153   |   -190.528339
S66by10_10_2.0_dimer   |   -190.5264   |   -190.461757   |   -190.526556
S66by10_11_0.7_dimer   |   -342.360169   |   -342.248716   |   -342.359854
S66by10_11_0.8_dimer   |   -342.377484   |   -342.265972   |   -342.377174
S66by10_11_0.95_dimer   |   -342.387059   |   -342.27533   |   -342.386802
S66by10_11_0.9_dimer   |   -342.385155   |   -342.273501   |   -342.384872
S66by10_11_1.05_dimer   |   -342.388825   |   -342.276956   |   -342.388633
S66by10_11_1.0_dimer   |   -342.388198   |   -342.276398   |   -342.387975
S66by10_11_2.0_dimer   |   -342.386118   |   -342.27354   |   -342.386146
S66by10_12_0.7_dimer   |   -171.310969   |   -171.253568   |   -171.31062
S66by10_12_0.8_dimer   |   -171.327792   |   -171.270344   |   -171.327798
S66by10_12_0.95_dimer   |   -171.336373   |   -171.278845   |   -171.33653
S66by10_12_0.9_dimer   |   -171.334813   |   -171.277323   |   -171.334937
S66by10_12_1.05_dimer   |   -171.337434   |   -171.279824   |   -171.337694
S66by10_12_1.5_dimer   |   -171.333962   |   -171.27592   |   -171.334504
S66by10_12_2.0_dimer   |   -171.331461   |   -171.273265   |   -171.332001
S66by10_13_0.7_dimer   |   -362.203847   |   -362.084323   |   -362.203343
S66by10_13_0.8_dimer   |   -362.219882   |   -362.100348   |   -362.21946
S66by10_13_0.95_dimer   |   -362.228474   |   -362.108811   |   -362.228184
S66by10_13_0.9_dimer   |   -362.226821   |   -362.10721   |   -362.226476
S66by10_13_1.05_dimer   |   -362.229864   |   -362.110087   |   -362.229673
S66by10_13_1.0_dimer   |   -362.229409   |   -362.109689   |   -362.229166
S66by10_13_2.0_dimer   |   -362.226102   |   -362.105781   |   -362.226135
S66by10_14_0.7_dimer   |   -342.361362   |   -342.250185   |   -342.36072
S66by10_14_0.8_dimer   |   -342.379399   |   -342.268162   |   -342.379284
S66by10_14_0.95_dimer   |   -342.389606   |   -342.278146   |   -342.389732
S66by10_14_1.05_dimer   |   -342.391439   |   -342.279823   |   -342.391665
S66by10_14_1.1_dimer   |   -342.39168   |   -342.279983   |   -342.391939
S66by10_15_0.7_dimer   |   -494.222906   |   -494.063526   |   -494.22268
S66by10_15_0.8_dimer   |   -494.240484   |   -494.081114   |   -494.240295
S66by10_15_0.95_dimer   |   -494.250222   |   -494.090688   |   -494.250013
S66by10_15_0.9_dimer   |   -494.248314   |   -494.088848   |   -494.248103
S66by10_15_1.05_dimer   |   -494.251852   |   -494.092166   |   -494.251675
S66by10_15_1.0_dimer   |   -494.251316   |   -494.091706   |   -494.251118
S66by10_15_1.5_dimer   |   -494.249319   |   -494.089108   |   -494.249317
S66by10_15_2.0_dimer   |   -494.246328   |   -494.085875   |   -494.246436
S66by10_16_0.7_dimer   |   -323.173699   |   -323.068128   |   -323.173547
S66by10_16_0.8_dimer   |   -323.187395   |   -323.081808   |   -323.18731
S66by10_16_0.95_dimer   |   -323.194256   |   -323.088533   |   -323.194326
S66by10_16_0.9_dimer   |   -323.193016   |   -323.087338   |   -323.193021
S66by10_16_1.05_dimer   |   -323.195137   |   -323.089329   |   -323.19534
S66by10_16_2.0_dimer   |   -323.191145   |   -323.084911   |   -323.191541
S66by10_17_0.7_dimer   |   -825.27826   |   -825.02606   |   -825.278139
S66by10_17_0.8_dimer   |   -825.311749   |   -825.059969   |   -825.311744
S66by10_17_0.95_dimer   |   -825.329202   |   -825.077748   |   -825.329212
S66by10_17_0.9_dimer   |   -825.326019   |   -825.074503   |   -825.326033
S66by10_17_1.05_dimer   |   -825.331253   |   -825.079833   |   -825.331308
S66by10_17_1.25_dimer   |   -825.328087   |   -825.076556   |   -825.328316
S66by10_17_1.5_dimer   |   -825.322195   |   -825.070356   |   -825.322452
S66by10_17_2.0_dimer   |   -825.315345   |   -825.063136   |   -825.315669
S66by10_18_0.7_dimer   |   -322.846758   |   -322.749281   |   -322.846948
S66by10_18_0.8_dimer   |   -322.862282   |   -322.764588   |   -322.862617
S66by10_18_0.95_dimer   |   -322.870028   |   -322.772138   |   -322.870266
S66by10_18_0.9_dimer   |   -322.868651   |   -322.770805   |   -322.868919
S66by10_18_1.05_dimer   |   -322.870897   |   -322.772953   |   -322.871135
S66by10_18_1.5_dimer   |   -322.867485   |   -322.769387   |   -322.86792
S66by10_18_2.0_dimer   |   -322.865137   |   -322.766955   |   -322.865584
S66by10_19_0.7_dimer   |   -361.877071   |   -361.765409   |   -361.876921
S66by10_19_0.8_dimer   |   -361.894419   |   -361.78258   |   -361.894565
S66by10_19_0.95_dimer   |   -361.903579   |   -361.791569   |   -361.903707
S66by10_19_0.9_dimer   |   -361.901854   |   -361.789884   |   -361.901998
S66by10_19_1.05_dimer   |   -361.904896   |   -361.79284   |   -361.905018
S66by10_19_2.0_dimer   |   -361.899415   |   -361.787086   |   -361.899638
S66by10_1_0.7_dimer   |   -152.121288   |   -152.069305   |   -152.12123
S66by10_1_0.8_dimer   |   -152.133997   |   -152.082292   |   -152.134093
S66by10_1_0.95_dimer   |   -152.139868   |   -152.088247   |   -152.140071
S66by10_1_0.9_dimer   |   -152.138898   |   -152.087281   |   -152.13907
S66by10_1_1.5_dimer   |   -152.13746   |   -152.085662   |   -152.13811
S66by10_1_2.0_dimer   |   -152.135683   |   -152.08381   |   -152.136399
S66by10_20_0.7_dimer   |   -455.812224   |   -455.662553   |   -455.813439
S66by10_20_0.8_dimer   |   -455.848801   |   -455.699183   |   -455.849179
S66by10_20_0.95_dimer   |   -455.86624   |   -455.717109   |   -455.866308
S66by10_20_0.9_dimer   |   -455.863291   |   -455.714003   |   -455.86343
S66by10_20_1.05_dimer   |   -455.867637   |   -455.718698   |   -455.867619
S66by10_20_1.1_dimer   |   -455.867036   |   -455.718141   |   -455.86702
S66by10_20_1.5_dimer   |   -455.856114   |   -455.707145   |   -455.856525
S66by10_20_2.0_dimer   |   -455.848149   |   -455.698928   |   -455.848794
S66by10_21_0.7_dimer   |   -416.125341   |   -415.99101   |   -416.125164
S66by10_21_0.8_dimer   |   -416.157778   |   -416.023819   |   -416.1577
S66by10_21_0.95_dimer   |   -416.174415   |   -416.040784   |   -416.174446
S66by10_21_0.9_dimer   |   -416.17142   |   -416.037724   |   -416.171411
S66by10_21_1.05_dimer   |   -416.176288   |   -416.042699   |   -416.176443
S66by10_21_1.25_dimer   |   -416.173245   |   -416.039593   |   -416.17366
S66by10_21_1.5_dimer   |   -416.16777   |   -416.033886   |   -416.168256
S66by10_21_2.0_dimer   |   -416.160832   |   -416.026643   |   -416.161434
S66by10_22_0.7_dimer   |   -640.547716   |   -640.346747   |   -640.548136
S66by10_22_0.8_dimer   |   -640.582409   |   -640.381669   |   -640.582492
S66by10_22_0.95_dimer   |   -640.599907   |   -640.399585   |   -640.599878
S66by10_22_0.9_dimer   |   -640.596808   |   -640.396373   |   -640.596808
S66by10_22_1.05_dimer   |   -640.601669   |   -640.40147   |   -640.601638
S66by10_22_1.0_dimer   |   -640.60135   |   -640.401105   |   -640.601303
S66by10_22_1.25_dimer   |   -640.597757   |   -640.397567   |   -640.597908
S66by10_22_1.5_dimer   |   -640.590955   |   -640.390582   |   -640.591286
S66by10_22_2.0_dimer   |   -640.582883   |   -640.382203   |   -640.583352
S66by10_23_0.7_dimer   |   -620.706802   |   -620.513618   |   -620.706617
S66by10_23_0.8_dimer   |   -620.738564   |   -620.545755   |   -620.738493
S66by10_23_0.95_dimer   |   -620.755392   |   -620.562908   |   -620.75543
S66by10_23_0.9_dimer   |   -620.752292   |   -620.559741   |   -620.752306
S66by10_23_1.05_dimer   |   -620.757405   |   -620.56497   |   -620.75752
S66by10_23_1.25_dimer   |   -620.754166   |   -620.561664   |   -620.754485
S66by10_23_1.5_dimer   |   -620.747909   |   -620.555178   |   -620.748306
S66by10_23_2.0_dimer   |   -620.740079   |   -620.547011   |   -620.740561
S66by10_24_0.7_dimer   |   -461.45591   |   -461.321148   |   -461.456291
S66by10_24_0.8_dimer   |   -461.54121   |   -461.405804   |   -461.541796
S66by10_24_0.95_dimer   |   -461.582782   |   -461.445901   |   -461.58282
S66by10_24_0.9_dimer   |   -461.574816   |   -461.43837   |   -461.575
S66by10_24_1.05_dimer   |   -461.590572   |   -461.453059   |   -461.590461
S66by10_24_1.0_dimer   |   -461.587619   |   -461.450392   |   -461.587574
S66by10_24_1.1_dimer   |   -461.592383   |   -461.454621   |   -461.592207
S66by10_24_1.25_dimer   |   -461.594704   |   -461.456266   |   -461.594234
S66by10_24_1.5_dimer   |   -461.595541   |   -461.456527   |   -461.594883
S66by10_25_0.7_dimer   |   -493.458069   |   -493.317069   |   -493.458077
S66by10_25_0.8_dimer   |   -493.54033   |   -493.398921   |   -493.540673
S66by10_25_0.95_dimer   |   -493.581273   |   -493.438802   |   -493.581572
S66by10_25_0.9_dimer   |   -493.573371   |   -493.431225   |   -493.573679
S66by10_25_1.05_dimer   |   -493.589032   |   -493.446065   |   -493.589333
S66by10_25_1.0_dimer   |   -493.586096   |   -493.443357   |   -493.586402
S66by10_25_1.1_dimer   |   -493.590808   |   -493.447635   |   -493.59108
S66by10_25_1.25_dimer   |   -493.5929   |   -493.449176   |   -493.59293
S66by10_26_0.7_dimer   |   -825.188307   |   -824.939759   |   -825.188183
S66by10_26_0.8_dimer   |   -825.268144   |   -825.019125   |   -825.267564
S66by10_26_0.95_dimer   |   -825.307819   |   -825.057748   |   -825.3073
S66by10_26_0.9_dimer   |   -825.300332   |   -825.050633   |   -825.299712
S66by10_26_1.1_dimer   |   -825.315914   |   -825.064863   |   -825.315731
S66by10_26_1.25_dimer   |   -825.316527   |   -825.064881   |   -825.316504
S66by10_26_2.0_dimer   |   -825.313505   |   -825.060846   |   -825.313393
S66by10_27_0.7_dimer   |   -477.445434   |   -477.307511   |   -477.445619
S66by10_27_0.8_dimer   |   -477.537935   |   -477.399576   |   -477.538451
S66by10_27_0.95_dimer   |   -477.582078   |   -477.442428   |   -477.582292
S66by10_27_0.9_dimer   |   -477.573743   |   -477.434487   |   -477.574045
S66by10_27_1.05_dimer   |   -477.590009   |   -477.449782   |   -477.590139
S66by10_27_1.0_dimer   |   -477.587042   |   -477.447077   |   -477.587208
S66by10_27_1.1_dimer   |   -477.591785   |   -477.451325   |   -477.591857
S66by10_27_1.25_dimer   |   -477.593887   |   -477.452822   |   -477.593686
S66by10_27_1.5_dimer   |   -477.594502   |   -477.452899   |   -477.5941
S66by10_28_0.7_dimer   |   -643.323998   |   -643.132507   |   -643.323648
S66by10_28_0.8_dimer   |   -643.403765   |   -643.211653   |   -643.403585
S66by10_28_0.95_dimer   |   -643.444014   |   -643.250734   |   -643.444004
S66by10_28_0.9_dimer   |   -643.436211   |   -643.243296   |   -643.436127
S66by10_28_1.05_dimer   |   -643.451668   |   -643.25774   |   -643.451788
S66by10_28_1.0_dimer   |   -643.448788   |   -643.255174   |   -643.448855
