Name   |   Ref (MP2/CBS) (A.U.)   |   Base (HF/aDZ) (A.U.)   |   ACP_MP2 (A.U.)   
0.0_B   |   -24.582469   |   -24.530574   |   -24.582521   
0.0_C   |   -37.769683   |   -37.687763   |   -37.769555   
0.0_Cl   |   -459.677251   |   -459.472781   |   -459.677249   
0.0_F   |   -99.653202   |   -99.381092   |   -99.653199   
0.0_H   |   -0.499983   |   -0.499334   |   -0.500014   
0.0_N   |   -54.514237   |   -54.393183   |   -54.514226   
0.0_O   |   -74.98705   |   -74.796601   |   -74.986918   
0.0_P   |   -340.81236   |   -340.709957   |   -340.812305   
0.0_S   |   -397.648655   |   -397.49874   |   -397.648718   
0.0_Si   |   -288.921417   |   -288.850936   |   -288.921466   
0.0a_B   |   -24.591183   |   -24.519542   |   -24.59117   
0.0a_C   |   -37.81753   |   -37.70495   |   -37.817546   
0.0a_Cl   |   -459.816469   |   -459.563645   |   -459.816461   
0.0a_F   |   -99.791772   |   -99.428282   |   -99.791763   
0.0a_H   |   -0.517919   |   -0.48678   |   -0.517893   
0.0a_N   |   -54.486442   |   -54.324899   |   -54.486462   
0.0a_O   |   -75.043954   |   -74.777373   |   -75.043892   
0.0a_P   |   -340.8342   |   -340.696508   |   -340.834157   
0.0a_S   |   -397.724998   |   -397.532584   |   -397.724965   
0.0a_Si   |   -288.973789   |   -288.882761   |   -288.97377   
0.0c_B   |   -24.277219   |   -24.235014   |   -24.277242   
0.0c_C   |   -37.354301   |   -37.290253   |   -37.35434   
0.0c_N   |   -53.976186   |   -53.881265   |   -53.976205   
0.0c_O   |   -74.490675   |   -74.353498   |   -74.49072   
0.0c_P   |   -340.424753   |   -340.344557   |   -340.424721   
0.0c_S   |   -397.274986   |   -397.159772   |   -397.274951   
0.0c_Si   |   -288.623946   |   -288.569751   |   -288.623943   
1.0_B2   |   -49.199294   |   -49.032457   |   -49.199367   
1.0_BH   |   -25.213315   |   -25.126424   |   -25.213084   
1.0_C2   |   -75.790951   |   -75.388341   |   -75.79077   
1.0_CH   |   -38.398496   |   -38.27543   |   -38.398906   
1.0_Cl2   |   -919.455509   |   -918.965661   |   -919.455549   
1.0_ClH   |   -460.349337   |   -460.092616   |   -460.349344   
1.0_F2   |   -199.376916   |   -198.701661   |   -199.376923   
1.0_FH   |   -100.386964   |   -100.033149   |   -100.386988   
1.0_H2   |   -1.167723   |   -1.128809   |   -1.167658   
1.0_N2   |   -109.410542   |   -108.961288   |   -109.41055   
1.0_NH   |   -55.142021   |   -54.971991   |   -55.141913   
1.0_O2   |   -150.183491   |   -149.644192   |   -150.183465   
1.0_OH   |   -75.658828   |   -75.403558   |   -75.659243   
1.0_P2   |   -681.811666   |   -681.47032   |   -681.81168   
1.0_PH   |   -341.421957   |   -341.288064   |   -341.422329   
1.0_S2   |   -795.467823   |   -795.06714   |   -795.467861   
1.0_SH   |   -398.28489   |   -398.092155   |   -398.284879   
1.0_Si2   |   -577.946152   |   -577.725286   |   -577.946151   
1.0_SiH   |   -289.532854   |   -289.430357   |   -289.532789   
S66by10_10_0.7_dimer   |   -191.417965   |   -190.436549   |   -191.420721   
S66by10_10_0.8_dimer   |   -191.429803   |   -190.45357   |   -191.431259   
S66by10_10_0.95_dimer   |   -191.434131   |   -190.46263   |   -191.433477   
S66by10_10_0.9_dimer   |   -191.433643   |   -190.460884   |   -191.43353   
S66by10_10_1.05_dimer   |   -191.433828   |   -190.464153   |   -191.432661   
S66by10_10_2.0_dimer   |   -191.427942   |   -190.461757   |   -191.427581   
S66by10_11_0.7_dimer   |   -343.891655   |   -342.248716   |   -343.889383   
S66by10_11_0.8_dimer   |   -343.903738   |   -342.265972   |   -343.901317   
S66by10_11_0.95_dimer   |   -343.908251   |   -342.27533   |   -343.906932   
S66by10_11_0.9_dimer   |   -343.907737   |   -342.273501   |   -343.906009   
S66by10_11_1.05_dimer   |   -343.907871   |   -342.276956   |   -343.907112   
S66by10_11_1.0_dimer   |   -343.90821   |   -342.276398   |   -343.907239   
S66by10_11_2.0_dimer   |   -343.900064   |   -342.27354   |   -343.900625   
S66by10_12_0.7_dimer   |   -172.072992   |   -171.253568   |   -172.068248   
S66by10_12_0.8_dimer   |   -172.086477   |   -171.270344   |   -172.085943   
S66by10_12_0.95_dimer   |   -172.09147   |   -171.278845   |   -172.091431   
S66by10_12_0.9_dimer   |   -172.09093   |   -171.277323   |   -172.090948   
S66by10_12_1.05_dimer   |   -172.090931   |   -171.279824   |   -172.090739   
S66by10_12_1.5_dimer   |   -172.084446   |   -171.27592   |   -172.084397   
S66by10_12_2.0_dimer   |   -172.081306   |   -171.273265   |   -172.081821   
S66by10_13_0.7_dimer   |   -363.763304   |   -362.084323   |   -363.763672   
S66by10_13_0.8_dimer   |   -363.775253   |   -362.100348   |   -363.772426   
S66by10_13_0.95_dimer   |   -363.779818   |   -362.108811   |   -363.775195   
S66by10_13_0.9_dimer   |   -363.779285   |   -362.10721   |   -363.774783   
S66by10_13_1.05_dimer   |   -363.779523   |   -362.110087   |   -363.775517   
S66by10_13_1.0_dimer   |   -363.779844   |   -362.109689   |   -363.775457   
S66by10_13_2.0_dimer   |   -363.771839   |   -362.105781   |   -363.772688   
S66by10_14_0.7_dimer   |   -343.892969   |   -342.250185   |   -343.894563   
S66by10_14_0.8_dimer   |   -343.906162   |   -342.268162   |   -343.908773   
S66by10_14_0.95_dimer   |   -343.911362   |   -342.278146   |   -343.912139   
S66by10_14_1.05_dimer   |   -343.911016   |   -342.279823   |   -343.911061   
S66by10_14_1.1_dimer   |   -343.910418   |   -342.279983   |   -343.910325   
S66by10_15_0.7_dimer   |   -496.366091   |   -494.063526   |   -496.370021   
S66by10_15_0.8_dimer   |   -496.379478   |   -494.081114   |   -496.381267   
S66by10_15_0.95_dimer   |   -496.3848   |   -494.090688   |   -496.383631   
S66by10_15_0.9_dimer   |   -496.384137   |   -494.088848   |   -496.383573   
S66by10_15_1.05_dimer   |   -496.384466   |   -494.092166   |   -496.382916   
S66by10_15_1.0_dimer   |   -496.384845   |   -494.091706   |   -496.383336   
S66by10_15_1.5_dimer   |   -496.377899   |   -494.089108   |   -496.378185   
S66by10_15_2.0_dimer   |   -496.373733   |   -494.085875   |   -496.375547   
S66by10_16_0.7_dimer   |   -324.544936   |   -323.068128   |   -324.547766   
S66by10_16_0.8_dimer   |   -324.555587   |   -323.081808   |   -324.555028   
S66by10_16_0.95_dimer   |   -324.559615   |   -323.088533   |   -324.55714   
S66by10_16_0.9_dimer   |   -324.559142   |   -323.087338   |   -324.556895   
S66by10_16_1.05_dimer   |   -324.559383   |   -323.089329   |   -324.557027   
S66by10_16_2.0_dimer   |   -324.553251   |   -323.084911   |   -324.553478   
S66by10_17_0.7_dimer   |   -828.60826   |   -825.02606   |   -828.612559   
S66by10_17_0.8_dimer   |   -828.63676   |   -825.059969   |   -828.643316   
S66by10_17_0.95_dimer   |   -828.648526   |   -825.077748   |   -828.648343   
S66by10_17_0.9_dimer   |   -828.646982   |   -825.074503   |   -828.648875   
S66by10_17_1.05_dimer   |   -828.647974   |   -825.079833   |   -828.645365   
S66by10_17_1.25_dimer   |   -828.64172   |   -825.076556   |   -828.638446   
S66by10_17_1.5_dimer   |   -828.634117   |   -825.070356   |   -828.632001   
S66by10_17_2.0_dimer   |   -828.626316   |   -825.063136   |   -828.627095   
S66by10_18_0.7_dimer   |   -324.248727   |   -322.749281   |   -324.248146   
S66by10_18_0.8_dimer   |   -324.261304   |   -322.764588   |   -324.263772   
S66by10_18_0.95_dimer   |   -324.265885   |   -322.772138   |   -324.267885   
S66by10_18_0.9_dimer   |   -324.265404   |   -322.770805   |   -324.267726   
S66by10_18_1.05_dimer   |   -324.26535   |   -322.772953   |   -324.266807   
S66by10_18_1.5_dimer   |   -324.259261   |   -322.769387   |   -324.259773   
S66by10_18_2.0_dimer   |   -324.25633   |   -322.766955   |   -324.257312   
S66by10_19_0.7_dimer   |   -363.465604   |   -361.765409   |   -363.458936   
S66by10_19_0.8_dimer   |   -363.479443   |   -361.78258   |   -363.477918   
S66by10_19_0.95_dimer   |   -363.484752   |   -361.791569   |   -363.484185   
S66by10_19_0.9_dimer   |   -363.484129   |   -361.789884   |   -363.48351   
S66by10_19_1.05_dimer   |   -363.484322   |   -361.79284   |   -363.483759   
S66by10_19_2.0_dimer   |   -363.474521   |   -361.787086   |   -363.475216   
S66by10_1_0.7_dimer   |   -152.725318   |   -152.069305   |   -152.726497   
S66by10_1_0.8_dimer   |   -152.73592   |   -152.082292   |   -152.735789   
S66by10_1_0.95_dimer   |   -152.739686   |   -152.088247   |   -152.738736   
S66by10_1_0.9_dimer   |   -152.739292   |   -152.087281   |   -152.738387   
S66by10_1_1.5_dimer   |   -152.735021   |   -152.085662   |   -152.735123   
S66by10_1_2.0_dimer   |   -152.733069   |   -152.08381   |   -152.733565   
S66by10_20_0.7_dimer   |   -457.634085   |   -455.662553   |   -457.618396   
S66by10_20_0.8_dimer   |   -457.668187   |   -455.699183   |   -457.664697   
S66by10_20_0.95_dimer   |   -457.681881   |   -455.717109   |   -457.678324   
S66by10_20_0.9_dimer   |   -457.680109   |   -455.714003   |   -457.677527   
S66by10_20_1.05_dimer   |   -457.681317   |   -455.718698   |   -457.676226   
S66by10_20_1.1_dimer   |   -457.679918   |   -455.718141   |   -457.674503   
S66by10_20_1.5_dimer   |   -457.665687   |   -455.707145   |   -457.66131   
S66by10_20_2.0_dimer   |   -457.656915   |   -455.698928   |   -457.654852   
S66by10_21_0.7_dimer   |   -417.887455   |   -415.99101   |   -417.891193   
S66by10_21_0.8_dimer   |   -417.915099   |   -416.023819   |   -417.920328   
S66by10_21_0.95_dimer   |   -417.926387   |   -416.040784   |   -417.926423   
S66by10_21_0.9_dimer   |   -417.924914   |   -416.037724   |   -417.926348   
S66by10_21_1.05_dimer   |   -417.925886   |   -416.042699   |   -417.924667   
S66by10_21_1.25_dimer   |   -417.920058   |   -416.039593   |   -417.919175   
S66by10_21_1.5_dimer   |   -417.913095   |   -416.033886   |   -417.913407   
S66by10_21_2.0_dimer   |   -417.905332   |   -416.026643   |   -417.907962   
S66by10_22_0.7_dimer   |   -643.12333   |   -640.346747   |   -643.11921   
S66by10_22_0.8_dimer   |   -643.154249   |   -640.381669   |   -643.1571   
S66by10_22_0.95_dimer   |   -643.167008   |   -640.399585   |   -643.166299   
S66by10_22_0.9_dimer   |   -643.165308   |   -640.396373   |   -643.166149   
S66by10_22_1.05_dimer   |   -643.166456   |   -640.40147   |   -643.163639   
S66by10_22_1.0_dimer   |   -643.167199   |   -640.401105   |   -643.165231   
S66by10_22_1.25_dimer   |   -643.159676   |   -640.397567   |   -643.156312   
S66by10_22_1.5_dimer   |   -643.151254   |   -640.390582   |   -643.148729   
S66by10_22_2.0_dimer   |   -643.142357   |   -640.382203   |   -643.142393   
S66by10_23_0.7_dimer   |   -623.252178   |   -620.513618   |   -623.255509   
S66by10_23_0.8_dimer   |   -623.279403   |   -620.545755   |   -623.28559   
S66by10_23_0.95_dimer   |   -623.290942   |   -620.562908   |   -623.292153   
S66by10_23_0.9_dimer   |   -623.289378   |   -620.559741   |   -623.292237   
S66by10_23_1.05_dimer   |   -623.290516   |   -620.56497   |   -623.289752   
S66by10_23_1.25_dimer   |   -623.28429   |   -620.561664   |   -623.283007   
S66by10_23_1.5_dimer   |   -623.276388   |   -620.555178   |   -623.27592   
S66by10_23_2.0_dimer   |   -623.267726   |   -620.547011   |   -623.269674   
S66by10_24_0.7_dimer   |   -463.6414   |   -461.321148   |   -463.644864   
S66by10_24_0.8_dimer   |   -463.692874   |   -461.405804   |   -463.696393   
S66by10_24_0.95_dimer   |   -463.708717   |   -461.445901   |   -463.706849   
S66by10_24_0.9_dimer   |   -463.707111   |   -461.43837   |   -463.706608   
S66by10_24_1.05_dimer   |   -463.708094   |   -461.453059   |   -463.705222   
S66by10_24_1.0_dimer   |   -463.708769   |   -461.450392   |   -463.70616   
S66by10_24_1.1_dimer   |   -463.707148   |   -461.454621   |   -463.704187   
S66by10_24_1.25_dimer   |   -463.704405   |   -461.456266   |   -463.701571   
S66by10_24_1.5_dimer   |   -463.702082   |   -461.456527   |   -463.700196   
S66by10_25_0.7_dimer   |   -495.721951   |   -493.317069   |   -495.721879   
S66by10_25_0.8_dimer   |   -495.771808   |   -493.398921   |   -495.772883   
S66by10_25_0.95_dimer   |   -495.787366   |   -493.438802   |   -495.785971   
S66by10_25_0.9_dimer   |   -495.785822   |   -493.431225   |   -495.784849   
S66by10_25_1.05_dimer   |   -495.786539   |   -493.446065   |   -495.785659   
S66by10_25_1.0_dimer   |   -495.787332   |   -493.443357   |   -495.786042   
S66by10_25_1.1_dimer   |   -495.785452   |   -493.447635   |   -495.785079   
S66by10_25_1.25_dimer   |   -495.782328   |   -493.449176   |   -495.7829   
S66by10_26_0.7_dimer   |   -828.568034   |   -824.939759   |   -828.562381   
S66by10_26_0.8_dimer   |   -828.622056   |   -825.019125   |   -828.621818   
S66by10_26_0.95_dimer   |   -828.639913   |   -825.057748   |   -828.639716   
S66by10_26_0.9_dimer   |   -828.638081   |   -825.050633   |   -828.638101   
S66by10_26_1.1_dimer   |   -828.637175   |   -825.064863   |   -828.63749   
S66by10_26_1.25_dimer   |   -828.632345   |   -825.064881   |   -828.633893   
S66by10_26_2.0_dimer   |   -828.623537   |   -825.060846   |   -828.626862   
S66by10_27_0.7_dimer   |   -479.673607   |   -477.307511   |   -479.675792   
S66by10_27_0.8_dimer   |   -479.730751   |   -477.399576   |   -479.733884   
S66by10_27_0.95_dimer   |   -479.748123   |   -477.442428   |   -479.74719   
S66by10_27_0.9_dimer   |   -479.746395   |   -477.434487   |   -479.746451   
S66by10_27_1.05_dimer   |   -479.747388   |   -477.449782   |   -479.745998   
S66by10_27_1.0_dimer   |   -479.748147   |   -477.447077   |   -479.746795   
S66by10_27_1.1_dimer   |   -479.746341   |   -477.451325   |   -479.745066   
S66by10_27_1.25_dimer   |   -479.743392   |   -477.452822   |   -479.742459   
S66by10_27_1.5_dimer   |   -479.7407   |   -477.452899   |   -479.740775   
S66by10_28_0.7_dimer   |   -646.108427   |   -643.132507   |   -646.108552   
S66by10_28_0.8_dimer   |   -646.158214   |   -643.211653   |   -646.161755   
S66by10_28_0.95_dimer   |   -646.174082   |   -643.250734   |   -646.176473   
S66by10_28_0.9_dimer   |   -646.172498   |   -643.243296   |   -646.175477   
S66by10_28_1.05_dimer   |   -646.173096   |   -643.25774   |   -646.174539   
S66by10_28_1.0_dimer   |   -646.174007   |   -643.255174   |   -646.175882   
S66by10_28_1.1_dimer   |   -646.171836   |   -643.259138   |   -646.17298   
S66by10_28_1.25_dimer   |   -646.168071   |   -643.260152   |   -646.169116   
S66by10_29_0.7_dimer   |   -662.101558   |   -659.062776   |   -662.091834   
S66by10_29_0.8_dimer   |   -662.188192   |   -659.191959   |   -662.189437   
S66by10_29_0.95_dimer   |   -662.213942   |   -659.24758   |   -662.215171   
S66by10_29_0.9_dimer   |   -662.211413   |   -659.237895   |   -662.212831   
S66by10_29_1.05_dimer   |   -662.212861   |   -659.25559   |   -662.214149   
S66by10_29_1.0_dimer   |   -662.21397   |   -659.252843   |   -662.215183   
S66by10_29_1.1_dimer   |   -662.21134   |   -659.256906   |   -662.212816   
S66by10_29_1.25_dimer   |   -662.20705   |   -659.257433   |   -662.20925   
S66by10_2_0.7_dimer   |   -191.943216   |   -191.087373   |   -191.940363   
S66by10_2_0.8_dimer   |   -191.954851   |   -191.101692   |   -191.951982   
S66by10_2_0.95_dimer   |   -191.959041   |   -191.108549   |   -191.955896   
S66by10_2_0.9_dimer   |   -191.958597   |   -191.107385   |   -191.955324   
S66by10_2_1.05_dimer   |   -191.958607   |   -191.109188   |   -191.955981   
S66by10_2_1.5_dimer   |   -191.953643   |   -191.106021   |   -191.953018   
S66by10_2_2.0_dimer   |   -191.951359   |   -191.104014   |   -191.951259   
S66by10_30_0.7_dimer   |   -310.262656   |   -308.699049   |   -310.27145   
S66by10_30_0.8_dimer   |   -310.28874   |   -308.743816   |   -310.293391   
S66by10_30_0.95_dimer   |   -310.296447   |   -308.76501   |   -310.294325   
S66by10_30_0.9_dimer   |   -310.295718   |   -308.761054   |   -310.295467   
S66by10_30_1.05_dimer   |   -310.296042   |   -308.76885   |   -310.292108   
S66by10_30_1.0_dimer   |   -310.29642   |   -308.767392   |   -310.293093   
S66by10_30_1.1_dimer   |   -310.295538   |   -308.769766   |   -310.291474   
S66by10_30_1.25_dimer   |   -310.294154   |   -308.770994   |   -310.290285   
S66by10_30_2.0_dimer   |   -310.292575   |   -308.771717   |   -310.289405   
S66by10_31_0.7_dimer   |   -492.731447   |   -490.518605   |   -492.736262   
S66by10_31_0.8_dimer   |   -492.753148   |   -490.553414   |   -492.755445   
S66by10_31_0.95_dimer   |   -492.760021   |   -490.570907   |   -492.760641   
S66by10_31_0.9_dimer   |   -492.75937   |   -490.567558   |   -492.760339   
S66by10_31_1.05_dimer   |   -492.759479   |   -490.57408   |   -492.759703   
S66by10_31_1.0_dimer   |   -492.759945   |   -490.572913   |   -492.760292   
S66by10_31_1.1_dimer   |   -492.758865   |   -490.574726   |   -492.758997   
S66by10_32_0.7_dimer   |   -491.485809   |   -489.300428   |   -491.48592   
S66by10_32_0.8_dimer   |   -491.509956   |   -489.338021   |   -491.510149   
S66by10_32_0.95_dimer   |   -491.517675   |   -489.356337   |   -491.516767   
S66by10_32_0.9_dimer   |   -491.51692   |   -489.352936   |   -491.516298   
S66by10_32_1.05_dimer   |   -491.517084   |   -489.359359   |   -491.515629   
S66by10_32_1.0_dimer   |   -491.517574   |   -489.358291   |   -491.516368   
S66by10_32_1.1_dimer   |   -491.516389   |   -489.359885   |   -491.51475   
S66by10_33_0.7_dimer   |   -326.309736   |   -324.708023   |   -326.316963   
S66by10_33_0.8_dimer   |   -326.329406   |   -324.743408   |   -326.331916   
S66by10_33_0.95_dimer   |   -326.335501   |   -324.761693   |   -326.333948   
S66by10_33_0.9_dimer   |   -326.334937   |   -324.758106   |   -326.334365   
S66by10_33_1.05_dimer   |   -326.335012   |   -324.765336   |   -326.332733   
S66by10_33_1.0_dimer   |   -326.335417   |   -324.763933   |   -326.333299   
S66by10_33_1.1_dimer   |   -326.334478   |   -324.766219   |   -326.332208   
S66by10_33_1.25_dimer   |   -326.332949   |   -324.767363   |   -326.331207   
S66by10_34_0.7_dimer   |   -394.78335   |   -392.639521   |   -394.800034   
S66by10_34_0.8_dimer   |   -394.807583   |   -392.679479   |   -394.819617   
S66by10_34_0.95_dimer   |   -394.816004   |   -392.701206   |   -394.818387   
S66by10_34_0.9_dimer   |   -394.815036   |   -392.696801   |   -394.819867   
S66by10_34_1.05_dimer   |   -394.815739   |   -392.705566   |   -394.816659   
S66by10_34_1.0_dimer   |   -394.816092   |   -392.70391   |   -394.817253   
S66by10_34_1.1_dimer   |   -394.815195   |   -392.706568   |   -394.816587   
S66by10_34_1.25_dimer   |   -394.813442   |   -392.707725   |   -394.817644   
S66by10_34_1.5_dimer   |   -394.811555   |   -392.707899   |   -394.818278   
S66by10_35_0.7_dimer   |   -394.792622   |   -392.652338   |   -394.799728   
S66by10_35_0.8_dimer   |   -394.81423   |   -392.686639   |   -394.818343   
S66by10_35_0.95_dimer   |   -394.821621   |   -392.704205   |   -394.81915   
S66by10_35_0.9_dimer   |   -394.820772   |   -392.700775   |   -394.819942   
S66by10_36_0.7_dimer   |   -394.815696   |   -392.682241   |   -394.81937   
S66by10_37_0.7_dimer   |   -393.593284   |   -391.484049   |   -393.60114   
S66by10_37_0.8_dimer   |   -393.612932   |   -391.516595   |   -393.616887   
S66by10_37_0.95_dimer   |   -393.61977   |   -391.533678   |   -393.616668   
S66by10_37_0.9_dimer   |   -393.618932   |   -391.530263   |   -393.617594   
S66by10_37_1.05_dimer   |   -393.61974   |   -391.536875   |   -393.61571   
S66by10_37_1.0_dimer   |   -393.619916   |   -391.535679   |   -393.615992   
S66by10_37_1.1_dimer   |   -393.619409   |   -391.537592   |   -393.615749   
S66by10_37_1.25_dimer   |   -393.618325   |   -391.538423   |   -393.616581   
S66by10_38_0.7_dimer   |   -392.385519   |   -390.312759   |   -392.394043   
S66by10_38_0.8_dimer   |   -392.40496   |   -390.344676   |   -392.41251   
S66by10_38_0.95_dimer   |   -392.411727   |   -390.361749   |   -392.413605   
S66by10_38_0.9_dimer   |   -392.410987   |   -390.358417   |   -392.414328   
S66by10_38_1.05_dimer   |   -392.41153   |   -390.3655   |   -392.41232   
S66by10_38_1.0_dimer   |   -392.411834   |   -390.36407   |   -392.412763   
S66by10_38_1.1_dimer   |   -392.411064   |   -390.366339   |   -392.412302   
S66by10_38_1.25_dimer   |   -392.40965   |   -390.367252   |   -392.413365   
S66by10_39_0.7_dimer   |   -428.017805   |   -425.826389   |   -428.022677   
S66by10_39_0.8_dimer   |   -428.050496   |   -425.879161   |   -428.056171   
S66by10_39_0.95_dimer   |   -428.06111   |   -425.90563   |   -428.063468   
S66by10_39_0.9_dimer   |   -428.05998   |   -425.900578   |   -428.063526   
S66by10_39_1.05_dimer   |   -428.060648   |   -425.9106   |   -428.061492   
S66by10_39_1.0_dimer   |   -428.06117   |   -425.908755   |   -428.062577   
S66by10_39_1.1_dimer   |   -428.059894   |   -425.911601   |   -428.060544   
S66by10_39_1.25_dimer   |   -428.057688   |   -425.912483   |   -428.059197   
S66by10_39_1.5_dimer   |   -428.05556   |   -425.912383   |   -428.058251   
S66by10_3_0.7_dimer   |   -172.074239   |   -171.256684   |   -172.073156   
S66by10_3_0.8_dimer   |   -172.086444   |   -171.271654   |   -172.088017   
S66by10_3_1.05_dimer   |   -172.090264   |   -171.27976   |   -172.090946   
S66by10_40_0.7_dimer   |   -429.237103   |   -427.020423   |   -429.238416   
S66by10_40_0.8_dimer   |   -429.260669   |   -427.058911   |   -429.261397   
S66by10_40_0.95_dimer   |   -429.268705   |   -427.078922   |   -429.266384   
S66by10_40_0.9_dimer   |   -429.267821   |   -427.07504   |   -429.266583   
S66by10_40_1.05_dimer   |   -429.268365   |   -427.082462   |   -429.264554   
S66by10_40_1.0_dimer   |   -429.268746   |   -427.081189   |   -429.265523   
S66by10_40_1.1_dimer   |   -429.267808   |   -427.083133   |   -429.263613   
S66by10_40_1.25_dimer   |   -429.266126   |   -427.083681   |   -429.262071   
S66by10_40_1.5_dimer   |   -429.264465   |   -427.08354   |   -429.260906   
S66by10_41_0.7_dimer   |   -611.68597   |   -608.805873   |   -611.679764   
S66by10_41_0.8_dimer   |   -611.71559   |   -608.853516   |   -611.712992   
S66by10_41_0.95_dimer   |   -611.725193   |   -608.878116   |   -611.723583   
S66by10_41_0.9_dimer   |   -611.724229   |   -608.873291   |   -611.722351   
S66by10_41_1.05_dimer   |   -611.724492   |   -608.882878   |   -611.724198   
S66by10_41_1.0_dimer   |   -611.725102   |   -608.881082   |   -611.724018   
S66by10_41_1.1_dimer   |   -611.723442   |   -608.884072   |   -611.724229   
S66by10_41_1.25_dimer   |   -611.720517   |   -608.884937   |   -611.724263   
S66by10_42_0.7_dimer   |   -610.478977   |   -607.630823   |   -610.472504   
S66by10_42_0.8_dimer   |   -610.512125   |   -607.682838   |   -610.510233   
S66by10_42_0.95_dimer   |   -610.522476   |   -607.70825   |   -610.521555   
S66by10_42_0.9_dimer   |   -610.521452   |   -607.70343   |   -610.520404   
S66by10_42_1.05_dimer   |   -610.521869   |   -607.712716   |   -610.521875   
S66by10_42_1.0_dimer   |   -610.522439   |   -607.711079   |   -610.521824   
S66by10_42_1.1_dimer   |   -610.521094   |   -607.713639   |   -610.521831   
S66by10_42_1.25_dimer   |   -610.518849   |   -607.714515   |   -610.522155   
S66by10_42_1.5_dimer   |   -610.516651   |   -607.714432   |   -610.522157   
S66by10_43_0.7_dimer   |   -611.692526   |   -608.817134   |   -611.687468   
S66by10_43_0.8_dimer   |   -611.721533   |   -608.860989   |   -611.717365   
S66by10_43_0.9_dimer   |   -611.729653   |   -608.877782   |   -611.725031   
S66by10_43_1.0_dimer   |   -611.730501   |   -608.883741   |   -611.72628   
