Name E(HF/CBS) E(HF/aDZ) E(HF/aDZ-ACP_HF)
00_B -24.5332023733 -24.5305737743 -24.5332006343
00_C -37.6937655365 -37.6877632674 -37.6937628770
00_Cl -459.4900429690 -459.4727811410 -459.4900430838
00_F -99.4160233395 -99.3810917930 -99.4160234252
00_H -0.4999825170 -0.4993343154 -0.4999804385
00_N -54.4045341707 -54.3931833896 -54.4045378764
00_O -74.8188734092 -74.7966007544 -74.8188752038
00_P -340.7193461830 -340.7099574070 -340.7193524898
00_S -397.5134494210 -397.4987399960 -397.5134502065
00_Si -288.8589179110 -288.8509361600 -288.8589188015
00a_B -24.5220060811 -24.5195415700 -24.5220079345
00a_C -37.7103543752 -37.7049500600 -37.7103599381
00a_Cl -459.5771255090 -459.5636447700 -459.5771257215
00a_F -99.4592519569 -99.4282824400 -99.4592523611
00a_H -0.4878534331 -0.4867802800 -0.4878566645
00a_N -54.3401649043 -54.3248989500 -54.3401558249
00a_O -74.7977622646 -74.7773727000 -74.7977615129
00a_P -340.7074607930 -340.6965082500 -340.7074600275
00a_S -397.5459211920 -397.5325840800 -397.5459240067
00a_Si -288.8900842480 -288.8827606700 -288.8900849115
00c_B -24.2376503758 -24.2350137300 -24.2376500831
00c_C -37.2969040892 -37.2902525800 -37.2968998080
00c_N -53.8939752936 -53.8812645700 -53.8939749113
00c_O -74.3770723628 -74.3534980100 -74.3770741942
00c_P -340.3553076010 -340.3445574900 -340.3553077199
00c_S -397.1739995530 -397.1597724700 -397.1740026114
00c_Si -288.5782895290 -288.5697511700 -288.5782900032
01_B2 -49.0463630130 -49.0324570200 -49.0463626805
01_BH -25.1316476204 -25.1264236800 -25.1316506391
01_C2 -75.4067930061 -75.3883411600 -75.4067925908
01_CH -38.2844447408 -38.2754297100 -38.2844603901
01_Cl2 -919.0098021040 -918.9656605100 -919.0098011966
01_ClH -460.1124149580 -460.0926155000 -460.1124148848
01_F2 -198.7764216910 -198.7016608100 -198.7764214584
01_FH -100.0702049060 -100.0331491200 -100.0702039930
